Word		Afrikaans meaningDutch meaning
aardig		pleasant, strangefriendly
Afrikaans		Afrikaans languageAfrican, also Afrikaans language
aftrek(ken)		distractdeduct, also "to jerk off", male masturbation
amper		nearlyscarcely
bees(t)		generic singular for cattle (cow, bull, etc.)animal
bekak(t)		soiled with excrementposh, upper-class
bliksem		lightning, also expletive meaning "bastard" (as noun) and "bloody" (as adjective). It can also mean to hit or an intention to hit someone to cause great bodily harm as in "Ek gaan jou bliksem" - "I am going to kill / hit you."lightning
brommer		blue bottle fly (insect)motor cycle or scooter
dassie		rock hyrax (Procavia capensis)European badger (Meles meles) (diminutive)
die		thethat one, which, who
dit		itthis, these
doos		box, also expletive "cunt"box, case, also "daft woman"
een		onea, an (indefinite article)
flikker		sparklequeer, homo
fok(ken)		fuck, fuckingto breed, to rear (animal husbandry)
geitj(i)e		gecko (reptile)small goat
het		have, hasthe (neuter gender)
Holland		Netherlandsformer province of Holland
houtkop		racial slur for black African, literally "wooden head""wooden head"
kaal		nakedbald
koeke(n)pan		mine cart or skip (rolling stock used in mining)cake pan
kont		female genitalsbuttocks
kopje		small hillcup
kuier(en)		visitgo for a walk
lol		cause troublehave fun
motor		motorcarmotorcycle
na		toafter
Nederduits		Dutch (as in Dutch Reformed Church)Low German Dutch formerly used the term to refer to the Dutch language
neuk(en)		strike, hitscrew, hump, have sex with
piel		expletive "dick", "penis"duckling
poes		expletive "cunt" or "pussy" (noun) or "fucking" (adjective)pussycat, tabby (although poesje is used as a vulgar term for "vagina")
snert		nonsensepea soup
sop		soupdishwater
stoep		verandasidewalk
vat		takegrab, seize
vies		angrydirty
voor		beforefor, before (written as vóór in Dutch)
waaier		electric fanhand fan
