Rang;Club;Titres gagnés;Titres gagnés;Titres gagnés
Rang;Club;Nombre;Premier;Dernier
1;TSV Bayer 04 Leverkusen;11;1966;1987
2;TV Lützellinden;7;1988;2001
2;Thüringer HC;7;2011;2018
4;1. FC Nürnberg;6;1964;2008
5;TuS Walle Brême;5;1991;1996
5;HC Leipzig;4;2002;2010
5;TuS Eintracht Minden;4;1973;1978
5;Eimsbütteler TV;4;1958;1967
6;SG BBM Bietigheim;2;2017;2019
6;VfB Leipzig;2;1998;1999
6;Union 03 Altona;2;1967;1972
6;RSV Mülheim;2;1960;1961
7;Frankfurter HC;1;2004;2004
7;DJK/MJC Trier;1;2003;2003
7;Grün-Weiß Francfort;1;1981;1981
7;TSV GutsMuths Berlin;1;1977;1977
7;Holstein Kiel;1;1971;1971
7;SSC Südwest 1947;1;1962;1962
