Model;Codename;UMI;SATA;USB 3.0+2.0+1.1;RAID;NIC;33 MHz PCI;SD;VGA DAC;TDP (W);Features / notes;Part number
Mobile;Mobile;Mobile;Mobile;Mobile;Mobile;Mobile;Mobile;Mobile;Mobile;Mobile;Mobile;Mobile
A55T;Hudson-M2T;×2 Gen 1;1× 3 Gbit/s AHCI 1.1;0 + 8 + 0;No;No;No;SDIO;No;;;
A50M;Hudson-M1;×4 Gen 1;6× 6 Gbit/s AHCI 1.2;0 + 14 + 2;No;No;No;No;No;5.9;~920 mW idle;100-CG2198
A60M;Hudson-M2;×4 Gen 1 +DP;6× 6 Gbit/s AHCI 1.2;0 + 14 + 2;0,1;10/100/1000;No;Yes;Yes;4.7;;
A68M;Hudson-M3L;×4 Gen 1 +DP;2× 6 Gbit/s AHCI 1.2;2 + 8 + 0;0,1;10/100/1000;No;Yes;No;4.7;~750 mW idle;
A70M;Hudson-M3;×4 Gen 1 +DP;6× 6 Gbit/s AHCI 1.2;4 + 10 + 2;0,1;10/100/1000;No;Yes;Yes;4.7;First native USB 3.0 controller;100-CG2389
A76M;Bolton-M3;;;;;;;;;;;218-0844012
Desktop;Desktop;Desktop;Desktop;Desktop;Desktop;Desktop;Desktop;Desktop;Desktop;Desktop;Desktop;Desktop
A45;Hudson-D1;×4 Gen. 2;6× 3 Gbit/s AHCI 1.1;0 + 14 + 2;No;No;Up to 4 slots;No;No;;;218-0792008
A55;Hudson-D2;×4 Gen 2 +DP;6× 3 Gbit/s AHCI 1.1;0 + 14 + 2;0,1,10;10/100/1000;Up to 3 slots;Yes;Yes;7.6;;
A58;Bolton-D2;×4 Gen 2;6× 3 Gbit/s AHCI 1.3;0 + 14 + 2;0,1,10;;Up to 3 slots;Yes;Yes;7.6;;218-0844023
A68H;Bolton-D2H;×4 Gen 2;4× 6 Gbit/s AHCI 1.3;2 + 10 + 2;0,1,10;;Up to 3 slots;Yes;Yes;;xHCI 1.0;218-0844029-00
A75;Hudson-D3;×4 Gen 2 +DP;6× 6 Gbit/s AHCI 1.2;4 + 10 + 2;0,1,10;10/100/1000;Up to 3 slots;Yes;Yes;7.8;First native USB 3.0 controller;100-CG2386
A78;Bolton-D3;×4 Gen 2 +DP;6× 6 Gbit/s AHCI 1.3;4 + 10 + 2;0,1,10;;Up to 3 slots;Yes;Yes;7.8;xHCI 1.0;218-0844014
A85X;Hudson-D4;×4 Gen 2 +DP;8× 6 Gbit/s AHCI 1.2;4 + 10 + 2;0,1,5,10;10/100/1000;Up to 3 slots;Yes;Yes;7.8;USB 3.0 (xHCI 0.96);
A88X;Bolton-D4;×4 Gen 2;8× 6 Gbit/s AHCI 1.3;4 + 10 + 2;0,1,5,10;;Up to 3 slots;Yes;Yes;7.8;USB 3.0 (xHCI 1.0);218-0844016
Embedded;Embedded;Embedded;Embedded;Embedded;Embedded;Embedded;Embedded;Embedded;Embedded;Embedded;Embedded;Embedded
A55E;Hudson-E1;×4 Gen 2;6× 6 Gbit/s AHCI 1.2;0 + 14 + 2;0,1,5,10;10/100/1000;Up to 4 slots;No;No;5.9;;100-CG2293
A77E;Bolton-E4;1-, 2-, or 4-lane 2 or 5 GB/s;6× 6 Gbit/s AHCI 1.3;4 + 10 + 2;;;Up to 3 slots;Yes;Yes;;4-lane PCIe 2.0;218-0844020-00
Model;Codename;UMI;SATA;USB 3.0+2.0+1.1;RAID;NIC;33 MHz PCI;SD;VGA DAC;TDP (W);Features / notes;Part number
