Country;Name;Initialisms/Acronym;Founded;Terminated;Capabilities of the space agency;Capabilities of the space agency;Capabilities of the space agency;Capabilities of the space agency;Remarks
Country;Name;Initialisms/Acronym;Founded;Terminated;Astronauts;Operates Satellites;Sounding Rockets capable;Recoverable Biological Sounding Rockets capable;Remarks
Bangladesh;Space Research and Remote Sensing Organization;SPARRSO;1980;—;No;Yes;No;No;
People's Republic of China;China National Space Administration (Chinese: 国家航天局);CNSA;22 April 1993;—;Yes;Yes;Yes;Yes;
India;Indian Space Research Organisation (Hindi: भारतीय अंतरिक्ष अनुसंधान संगठन);ISRO इसरो;15 August 1969;—;Yes;Yes;Yes;Yes;
Indonesia;Indonesian: Lembaga Antariksa dan Penerbangan Nasional (National Institute of Aeronautics and Space);LAPAN;27 November 1964;—;Yes;Yes;Yes;No;
Iran;Iranian Space Agency (Persian: سازمان فضایی ایران‎);ISA;2003;—;No;Yes;Yes;Yes;
Israel;Israeli Space Agency (Hebrew: סוכנות החלל הישראלית‎);ISA סל"ה;April 1983;—;Yes;Yes;Yes;No;
Japan;Japan Aerospace Exploration Agency (Japanese: 宇宙航空研究開発機構);JAXA;1 October 2003;—;Yes;Yes;Yes;Yes;
Malaysia;Malaysian National Space Agency (Malay: Agensi Angkasa Negara);ANGKASA;2002;—;Yes;Yes;No;No;
North Korea;Korean Committee of Space Technology (Korean: 조선우주공간기술위원회);KCST;1980s;2013;No;Yes;Yes;No;
Pakistan;Pakistan Space and Upper Atmosphere Research Commission (Urdu: پاکستان خلائی و بالا فضائی تحقیقاتی کمیشن‎);SUPARCO سپارکو;16 September 1961;—;No;Yes;Yes;No;
Philippines;Philippine Space Agency;PhilSA;8 August 2019;—;No;Yes;No;No;
South Korea;Korea Aerospace Research Institute (Korean: 한국항공우주연구원);KARI;10 October 1989;—;Yes;Yes;Yes;No;
Republic of China;National Space Organization (Chinese: 國家太空中心);NSPO;3 October 1991;—;No;Yes;Yes;No;
Thailand;Geo-Informatics and Space Technology Development Agency (Thai: สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ);GISTDA สทอภ;3 November 2002;—;No;Yes;No;No;
