BitTorrent client;GUI;Remote;CLI;Other;Programming language;Based on;IPv6;μTP
BitComet;Yes;Yes;Partial;No;C++;-;Yes;No
BitLord;Yes;No;No;No;Python, C++;libtorrent (Rasterbar);Yes;No
BitTorrent 5, Mainline;Yes;No;Partial;No;Python;-;No;No
BitTorrent 6;Yes;Yes;Partial;No;C++;μTorrent;Yes;Yes
Deluge;Yes;Yes;Yes;Daemon;Python, C++;libtorrent (Rasterbar);Yes;Yes
FlashGet;Yes;No;No;No;?;?;No;No
Free Download Manager;Yes;Yes;Partial;No;C++;libtorrent (Rasterbar);No;No
Frostwire;Yes;No;No;No;Java;libtorrent (Rasterbar);No;Yes
KGet;Yes;Yes;Partial;No;C++;-;Yes;No
KTorrent;Yes;Yes;Partial;No;C++;-;Yes;Yes
LimeWire;Yes;No;No;No;Java;libtorrent (Rasterbar);No;No
Miro;Yes;No;No;No;C++;libtorrent (Rasterbar);No;No
MLDonkey;No;Third Party;Partial;Telnet;OCaml;-;No;No
μTorrent;Yes;Yes;No;RESTful Web API;C++;-;Yes;Yes
Opera 12;Yes;No;No;No;C++;-;Yes;No
qBittorrent;Yes;Yes;Partial;No;Python, C++;libtorrent (Rasterbar);Yes;Yes
rTorrent;No;Third Party;Yes;SCGI;C++;[libTorrent] (Rakshasa);Yes;No
Shareaza;Yes;Yes;Partial;No;C++;-;No;No
Tixati;Yes;Yes;No;Web interface;C++;-;Yes;Yes
Tonido;No;Yes;No;No;C++;libtorrent (Rasterbar);No;No
Transmission;Yes;Yes;Yes;Daemon, JSON-RPC over HTTP remote control API;C, Objective-C;libtransmission;Yes;Yes
Tribler;Yes;Partial;Partial;No;Python, C++;libtorrent (Rasterbar);No;Yes
Vuze (formerly Azureus);Yes;Yes;Partial;Telnet, XML over HTTP remote control API;Java, SWT;-;Yes;Yes
Xunlei;Yes;No;No;remote control over internet;C++;-;No;No
BitTorrent client;GUI;Web;CLI;Other;Programming language;Based on;IPv6;μTP
