BitTorrent client;Magnet URI;Preload Magnet metadata;Super-seeding;Embedded tracker;UPnP;NAT Port Mapping Protocol;NAT traversal;DHT;Peer exchange;Encryption;UDP tracker;LPD;Proxy server
BitComet;Yes;No;Yes;Separate download;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;HTTP 1.1, SOCKS4-4a-5
BitLord;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP 1.1, SOCKS4-4a-5
BitTorrent 5, Mainline;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes
BitTorrent 6;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP(S), SOCKS4-5
Deluge;Yes;Partial;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP(S), SOCKS4-5
FlashGet;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
Free Download Manager;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No
KTorrent;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;HTTP, SOCKS4-5
LimeWire;Partial;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No
MLDonkey;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No
μTorrent;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP(S), SOCKS4-5
Opera 12;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No
qBittorrent;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP(S), SOCKS4-5
rTorrent;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No
Shareaza;Yes;No;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No
Tixati;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;only with out going without DHT if anonymity required
Tonido;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No
Transmission;Yes;Patch available;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No
Tribler;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Uses P2P onion routing to provide anonymity.
Vuze (formerly Azureus);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Plugin;HTTP(S)?, SOCKS4-4a-5
Xunlei;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;HTTP, SOCKS5, FTP
BitTorrent client;Magnet URI;Preload Magnet metadata;Super-seeding;Embedded tracker;UPnP;NAT Port Mapping Protocol;NAT traversal;DHT;Peer exchange;Encryption;UDP tracker;LPD;Proxy server
