BitTorrent client;Cache;Hash Web seeding;HTTP Web seeding;Broad-catching (RSS);Prioritization;Selective downloads;Sequential downloading;SOCKS;Tracker exchange;Remote control via web;Search engine;Auto updates;Reviews and Comments;Notes
BitComet;Yes;No;Yes;Beta;Yes;Yes;Yes;Yes;No;Yes;Built-in Web browser;Yes;No;Portable version available
BitLord;Yes;No;Partial;Yes;Yes;Yes;No;Yes;No;No;Built-in Web browser;Yes;No;
BitTorrent 5, Mainline;No;Yes;Partial;No;Yes;Yes;No;No;No;No;Yes;Yes;No;
BitTorrent 6;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;
Deluge;Yes;Yes;Partial;Plugin;Yes;Yes;Yes;Yes;No;Yes;No;via PMS;No;
FlashGet;No;No;;No;No;No;No;No;No;No;No;No;No;FlashGet (standalone application) is not FlashGot (Firefox Addon)
Free Download Manager;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;Optional;No;
KTorrent;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;No;Yes;Built-in Web browser;via PMS;No;
LimeWire;Yes;Yes;No;No;Yes;Yes;No;Yes;No;No;No;Yes;No;
MLDonkey;Yes;No;;3rd party bash script;Yes;No;No;No;No;Yes;Built-in Web browser;via PMS;No;
μTorrent;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;
Opera 12;No;No;;Yes;No;No;No;No;No;No;built-into Web browser;Windows and Mac OS X only, via PMS on Linux;No;Web browser
qBittorrent;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;hard-coded as disabled in newer versions;Yes;Yes;via PMS;No;
rTorrent;Partial;No;No;3rd party utility;Yes;Yes;No;No;No;Yes;No;via PMS;No;No built-in disk cache but a delayed sync
Shareaza;Yes;Yes;No;No;Yes;Yes;in mod client;No;Yes;Yes;Yes;Yes;No;
Tixati;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;lightweight client, Portable version available, option to keep all peers unchoked available Integral encrypted chatrooms that allow streaming audio and video, link sharing and searching
Tonido;No;No;;No;Yes;Yes;No;No;No;Yes;No;Yes;No;
Transmission;Yes;No;Partial;No;Yes;Yes;No;No;No;Yes;No;Yes;No;
Tribler;Yes;No;No;Yes;Yes;Yes;No;No;No;Partial;Yes (DHT);Yes;No;Fully distributed keyword search, integrated anti-spam measures
Vuze (formerly Azureus);Yes;;Yes;Yes;Yes;Yes;in paid version;Yes;No;Plugin;Yes;Yes;Yes;The only client to bridge between i2p and the clearnet.
Xunlei;Yes;No;;Yes;Yes;Yes;Yes;;;Yes;No;Yes;No;
BitTorrent client;Cache;Hash Web seeding;HTTP Web seeding;Broad-catching (RSS);Prioritization;Selective downloads;Sequential downloading;SOCKS;Tracker exchange;Remote control via web;Search engine;Auto updates;Reviews and Comments;Notes
