;Flat;Threaded;User selectable themes;Unread message tracking;WYSIWYG Editor;Export, portability;Email / NNTP interface;Languages;SSO
bbPress;Yes;;;;;No;Plugin;Yes;
Beehive Forum;Yes;Yes;Partial;Full;Yes (using TinyMCE);Partial;;;
Discourse;Yes;No;Yes;Full;Real-time side-by-side preview;Full;Partial;Yes;OAuth2, Custom
Discuz!;;;Yes;;;;;
FluxBB;Yes;No;Partial;Session;No;;;Yes;
FUDforum;Yes;Yes;Yes;Full;Yes;Partial;Yes;Yes
Invision Power Board;Yes;;Yes;Full;Yes;;No;;No
MyBB;Yes;Yes;Yes;Full;Yes;No;No;Yes;
Phorum;Yes;Yes;Yes;Full;Yes;Plugin;;No;
phpBB;Yes;No;Yes;Full;No;No;No;Yes;Yes (LDAP, OAuth)
PunBB;Yes;;Yes;Session;;;;No;
Simple Machines Forum;Yes;No;Yes;Full;Yes;Partial;No;Yes;
Thredded;Yes;No;Yes;Full;No;No;Read-only;Yes;Custom
Vanilla Forums;Yes;;Yes;Yes;Plugin;Plugin;;Yes;Yes
vBulletin;Yes;No;Yes;Full;Yes;Plugin;;No;
XenForo;Yes;Yes;Yes;Full;Yes;Yes;;Yes;Yes
