Distribution;x86;x86-64;arm;ia64;ppc;ppc64;sparc32;sparc64;hppa;loongson;mips;sh;s390;s390x;alpha;m68k;riscv
Alpine Linux;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No
Arch Linux;Unofficial Official discontinued 2017-11-08;Yes;Unofficial;No;Discontinued unofficial port;No;No;No;No;Discontinued. Unofficial port;No;No;No;No;No;No;No
BackTrack;Discontinued from BackTrack 5 and superseded by Kali Linux;Discontinued from BackTrack 5 and superseded by Kali Linux;Discontinued from BackTrack 5 and superseded by Kali Linux;No;No;No;No;No;No;No;No;No;No;No;No;No;No
BLAG;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Bodhi Linux;Yes;Yes;Discontinued 2013-10-23;No;No;No;No;No;No;No;No;No;No;No;No;No;No
BOSS Linux;Yes;Yes;?;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No
CentOS;AltArch;Yes;AltArch;Discontinued 3.5-3.8 4.1-4.7;Beta, Discontinued 4.0;AltArch;Beta 4.2;No;No;No;No;No;Discontinued 3.5-3.8 4.1-4.7;Discontinued 3.5-3.8 4.1-4.7;Discontinued 4.2-4.3;No;No
Chakra;No;Yes;?;No;No;No;No;No;No;No;No;No;No;No;No;No;No
CRUX;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
Debian;Yes;Yes 4.0+;Yes 2.2+;Discontinued 3.0-7.0;Discontinued 2.2-8;Yes;Discontinued 2.1-4.0;Discontinued -7;Discontinued 3.0-5.0;Yes;Yes 3.0+;In progress;Discontinued 3.0-7;Yes 7+;Discontinued 2.1-5.0;Discontinued 2.0-3.1;In progress
Devuan;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Dragora GNU/Linux-Libre;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
dyne:bolic;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Fedora;Discontinued from Fedora 30;Yes;Yes;Discontinued from Fedora 9;Discontinued from Fedora 17;Yes;No;Inactive from Fedora 12;No;In progress;Inactive from Fedora 13;No;No;Yes;No;No;In progress
Finnix;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No
Gentoo;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Test release
gNewSense;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No
Guix System;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;In progress
Hyperbola GNU/Linux-libre;Yes;Yes;No;No;No;In progress;No;No;No;No;No;No;No;No;No;No;In progress
Kali Linux;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
LibreCMC;No;No;No;No;No;No;No;No;No;No;Yes XBurst;No;No;No;No;No;No
Manjaro Linux;Yes Unofficial;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
MEPIS;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Musix GNU+Linux;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
OpenELEC;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
openSUSE Leap;No;Yes;v7 64;No;No;ppc64le;No;No;No;No;No;No;No;No;No;No;No
openSUSE Tumbleweed;Yes;Yes;v6 v7 64;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;RV64G
OpenWrt;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No
