Grapheme;Quantity;Danish;Danish;Danish;Norwegian;Swedish
Grapheme;Quantity;/V/;/rV/;/Vr/;Norwegian;Swedish
a;long;[ɛː];[ʁɑː];[ɑː];[ɑː];[ɑː]
a;short;[æ], [ɑ];[ʁɑ];[ɑː];[ɑ];[a]
e;long;[e̝ː];[ʁɛː];[e̝ːɐ, ɛːɐ];[eː];[eː]
e;short;[e];[ʁɑ], [ʁæ];[ɛɐ];[ɛ];[ɛ]
e;unstressed;[ə];[ɐ];[ɐ];[ə];N/A
i;long;[iː];[ʁiː];[iːɐ];[iː];[iː]
i;short;[e̝], [i];[ʁe], [ʁi];[iɐ];[ɪ];[i]
o;long;[oː];[ʁoː];[oːɐ];[uː];[ʊː]
o;short;[ʌ], [ɔ];[ʁʌ];[ɒː], [oɐ];[ɔ];[ʊ], [ɔ]
u;long;[uː];[ʁuː > ʁoː];[uːɐ];[ʉː];[ʉː]
u;short;[ɔ] , [u];[ʁɔ] , [ʁu > ʁo];[uɐ];[ʉ], [u];[ɵ]
y;long;[yː];[ʁyː];[yːɐ];[yː];[yː]
y;short;[ø] , [y];[ʁœ] , [ʁy];[yɐ], [ɶɐ];[y];[y]
æ / ä;long;[eː];[ʁɛː];[ɛːɐ];[æː];[ɛː]
æ / ä;short;[e];[ʁɑ], [ʁæ];[ɛɐ];[æ];[ɛ]
ø / ö;long;[øː];[ʁœː];[øːɐ];[øː];[øː]
ø / ö;short;[ø];[ʁœ], [ʁɶ];[ɶɐ];[œ];[œ]
å;long;[ɔː];[ʁɔː];[ɒː];[oː];[oː]
å;short;[ʌ];[ʁʌ];[ɒː];;[ɔ]
