Name;Keyboard mapping;Session tabs;ZMODEM transfers;Find text in buffer;Mouse input support;Unicode support;URL hyperlinking;Public key authentication;Smart card support;Hardware encryption;FIPS 140-2 validation;Scripting;Shared Database;Auto-reconnect;CA Certificates
AbsoluteTelnet;full;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;?;?;?
Bitvise SSH Client;?;No;No;No;Yes;Yes;No;Yes;No;?;Partial;Yes;No;Yes;No
OpenSSH (OpenBSD Secure Shell);?;No;No;?;Yes;Yes;not native;Yes;Yes;Yes;Partial;No;No;?;Yes
PuTTY;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No
SecureCRT;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;?;?
SmartFTP;Partial;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;AES-NI;Yes;No;?;?;?
Tera Term;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;Yes;No;?;?
TN3270 Plus;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;Yes;?;?;?
TtyEmulator;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;Yes;?;?;?
wolfSSH;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;?;Yes
ZOC;full;Yes;Yes;Alt+F;Yes;UTF-8;Yes;Yes;pkcs#11;No;No;Yes;?;?;?
