Implementation;SSL 2.0 (insecure);SSL 3.0 (insecure);TLS 1.0;TLS 1.1;TLS 1.2;TLS 1.3;DTLS 1.0;DTLS 1.2
Botan;No;No;Yes;Yes;Yes;;Yes;Yes
BoringSSL;;;Yes;Yes;Yes;Yes;Yes;Yes
Bouncy Castle;No;No;Yes;Yes;Yes;Yes (draft version);Yes;Yes
cryptlib;No;Disabled by default at compile time;Yes;Yes;Yes;;No;No
GnuTLS;No;Disabled by default;Yes;Yes;Yes;Yes;Yes;Yes
JSSE;No;Disabled by default;Yes;Yes;Yes;Yes (JDK 11+);Yes;Yes
LibreSSL;No;No;Yes;Yes;Yes;Yes;Yes;No
MatrixSSL;No;Disabled by default at compile time;Yes;Yes;Yes;Yes;Yes;Yes
Mbed TLS;No;Disabled by default;Yes;Yes;Yes;No;Yes;Yes
NSS;No;Disabled by default;Yes;Yes;Yes;Yes;Yes;Yes
OpenSSL;No;Disabled by default;Yes;Yes;Yes;Yes;Yes;Yes
RSA BSAFE;No;Disabled by default;Yes;Yes;Yes;No;No;No
S2n;No;Disabled by default;Yes;Yes;Yes;;No;No
SChannel XP, 2003;Disabled by default in MSIE 7;Enabled by default;Enabled by default in MSIE 7;No;No;;No;No
SChannel Vista;Disabled by default;Enabled by default;Yes;No;No;;No;No
SChannel 2008;Disabled by default;Enabled by default;Yes;Disabled by default (KB4019276);Disabled by default (KB4019276);;No;No
SChannel 7, 2008R2;Disabled by default;Disabled by default in MSIE 11;Yes;Enabled by default in MSIE 11;Enabled by default in MSIE 11;;Yes;No
SChannel 8, 2012;Disabled by default;Enabled by default;Yes;Disabled by default;Disabled by default;;Yes;No
SChannel 8.1, 2012R2, 10 v1507 & v1511;Disabled by default;Disabled by default in MSIE 11;Yes;Yes;Yes;;Yes;No
SChannel 10 v1607 / 2016;No;Disabled by default;Yes;Yes;Yes;;Yes;Yes
Secure Transport OS X 10.2-10.7, iOS 1-4;Yes;Yes;Yes;No;No;;No;No
Secure Transport OS X 10.8-10.10, iOS 5-8;No;Yes;Yes;Yes;Yes;;Yes;No
Secure Transport OS X 10.11, iOS 9;No;No;Yes;Yes;Yes;;Yes;Unknown
Secure Transport OS X 10.13, iOS 11;No;No;Yes;Yes;Yes;Yes (draft version);Yes;Unknown
wolfSSL;No;Disabled by default;Yes;Yes;Yes;Yes;Yes;Yes
Erlang/OTP SSL application;No;Disabled by default;Yes;Yes;Yes;Not yet;Yes;Yes
Implementation;SSL 2.0 (insecure);SSL 3.0 (insecure);TLS 1.0;TLS 1.1;TLS 1.2;TLS 1.3;DTLS 1.0;DTLS 1.2
