Implementation;Secure Renegotiation;Server Name Indication;ALPN;Certificate Status Request;OpenPGP;Supplemental Data;Session Ticket;Keying Material Exporter;Maximum Fragment Length;Truncated HMAC;Encrypt-then-MAC;TLS Fallback SCSV;Extended Master Secret;ClientHello Padding;Raw Public Keys
Botan;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Unknown
cryptlib;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Unknown
GnuTLS;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
JSSE;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;No
LibreSSL;Yes;Yes;Yes;Yes;No;No?;Yes;Yes?;No;No;No;Server side only;No;Yes;No
MatrixSSL;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Yes;Yes;No;Unknown
Mbed TLS;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Disabled by default;Yes;Yes;Yes;No;No
NSS;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Unknown
OpenSSL;Yes;Yes;Yes;Yes;No;No?;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No
RSA BSAFE Micro-Edition Suite;Yes;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;No
RSA BSAFE SSL-J;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No
SChannel XP/2003;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Unknown
SChannel Vista/2008;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Unknown
SChannel 7/2008R2;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;Unknown
SChannel 8/2012;Yes;Yes;No;Yes;No;Yes;Client side only;No;No;No;No;No;Yes;No;Unknown
SChannel 8.1/2012R2, 10;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;Unknown
Secure Transport;Yes;Yes;Unknown;No;No;Yes;No;No;No;No;No;No;No;No;Unknown
wolfSSL;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;No;Unknown
Erlang/OTP SSL application;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;Unknown
Implementation;Secure Renegotiation;Server Name Indication;ALPN;Certificate Status Request;OpenPGP;Supplemental Data;Session Ticket;Keying Material Exporter;Maximum Fragment Length;Truncated HMAC;Encrypt-then-MAC;TLS Fallback SCSV;Extended Master Secret;ClientHello Padding;Raw Public Keys
