Implementation;Application-defined;PKIX path validation;CRL;OCSP;DANE (DNSSEC);Trust on First Use (TOFU);CAA;CT
Botan;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
Bouncy Castle;Yes;Yes;Yes;Yes;Yes;No;Unknown;Unknown
cryptlib;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
GnuTLS;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown
JSSE;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
LibreSSL;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
MatrixSSL;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
Mbed TLS;Yes;Yes;Yes;No;No;No;Unknown;Unknown
NSS;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
OpenSSL;Yes;Yes;Yes;Yes;Yes;No;Unknown;Yes
RSA BSAFE;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
SChannel;Unknown;Yes;Yes;Yes;No;No;Unknown;Unknown
Secure Transport;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
wolfSSL;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown
Erlang/OTP SSL application;Yes;Yes;Yes;No;No;No;Unknown;Unknown
Implementation;Application-defined;PKIX path validation;CRL;OCSP;DANE (DNSSEC);Trust on First Use (TOFU);CAA;CT
