XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
0004;Data forms;Final;Yes;Unknown;Unknown;No;Yes;Yes;Yes;Yes;Yes;Yes
0009;Jabber RPC;Final;Yes;Unknown;Unknown;No;Unknown;No;No;Unknown;Yes;Yes
0012;Last Activity;Final;Yes;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
0013;Flexible offline message retrieval;Draft;No;Unknown;Yes;No;No;No;No;Yes;No;Yes
0016;Privacy Lists;Deprecated;Yes;Unknown;Yes;Yes;Yes;No;Yes;Unknown;Yes;Yes
0018;Invisible Presence;Rejected;Yes;Unknown;Yes;No;No;No;Yes;Unknown;Unknown;No
0020;Feature negotiation;Deprecated;Yes;Unknown;Unknown;No;Unknown;No;No;No;Yes;Yes
0022;Message Events;Obsolete;Yes;Unknown;Yes;Yes;Unknown;No;Yes;Unknown;Yes;Yes
0023;Message Expiration;Obsolete;Yes;Unknown;Yes;Yes;Unknown;No;Yes;Unknown;Unknown;No
0025;HTTP Polling;Obsolete;Yes;Unknown;Unknown;No;No;No;No;Unknown;No;No
0030;Service Discovery;Final;Yes;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
0033;Extended Stanza Addressing;Draft;Yes;Unknown;Unknown;No;No;No;No;Yes;Partial Contrib.;No
0039;Statistics Gathering (deferred);Deferred;Yes;Unknown;Unknown;No;No;No;No;Unknown;Unknown;Yes
0045;Multi User Chat;Draft;Yes;Unknown;Contrib.;No;Yes;Yes;Yes;Yes;Yes;Yes
0047;In-Band Bytestreams;Final;Yes;Unknown;Unknown;No;Unknown;No;Yes;Yes;Yes;Yes
0049;Private XML Storage;Historical Use;Yes;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
0050;Ad-Hoc Commands;Draft;Yes;Unknown;Unknown;No;Yes;Yes;Yes;Yes;Yes;Yes
0054;vcard-temp;Historical Use;Yes;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
0055;Jabber Search;Historical Use;Yes;Unknown;Unknown;No;Yes;Yes;Yes;Yes;No;Unknown
0059;Result set management;Draft;Yes;Unknown;Unknown;No;Partial;No;Yes;Yes;No;Yes
0060;Publish-Subscribe;Draft;Yes;Unknown;Contrib.;No;Yes;Yes;Yes;Yes;Yes;Yes
0065;SOCKS5 Bytestreams;Draft;Yes;Unknown;Contrib.;No;Yes;No;No;Yes;Yes;Yes
0066;Out of Band Data;Draft;Yes;Unknown;Unknown;No;Unknown;No;Yes;Unknown;Yes;Yes
