Codec;Windows;macOS;Linux;BSD;Unix;Palm OS;Symbian OS;Rockbox;iOS;Android;Chromium
AAC;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
AC-3;Yes;?;Yes;?;?;?;?;?;Yes;?;?
ALAC;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No
ALS;?;?;?;?;?;?;?;?;?;?;?
aptX;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No
CELT;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No
E-AC3;Yes;?;?;?;?;?;?;?;Yes;?;?
FLAC;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Monkey's Audio;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No
MP3;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Musepack;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No
Opus;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
RealAudio;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No
Speex;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No
Vorbis;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes
True Audio (TTA);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes
WavPack;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;No;No
WMA;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;No
