;1999;1999;1999;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Professional;D1;D1;D1;D1;D1;D1;D1;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D1X;D2X;D2X;D2X;D2X;D2X;D2X;D2X;D2Xs;D2Xs;D2Xs;D2Xs;D2Xs;;;;;;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;D3X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Professional;;;;;;;;D1H;D1H;D1H;D1H;D1H;D1H;D1H;D1H;D1H;D1H;D2H;D2H;D2H;D2H;D2H;D2H;D2Hs;D2Hs;D2Hs;D2Hs;D2Hs;D2Hs;D2Hs;D2Hs;D2Hs;D2Hs;D3;D3;D3;D3;D3;D3;D3;D3;D3;D3S;D3S;D3S;D3S;D3S;D3S;D3S;D3S;D3S;D4;D4;D4;D4;D4;D4;D4;D4;D4S;D4S;D4S;D4S;D4S;D4S;D4S;D4S;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D5;D6;D6;D6
High-end;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D800 / D800E;D800 / D800E;D800 / D800E;D800 / D800E;D800 / D800E;D800 / D800E;D800 / D800E;D800 / D800E;D800 / D800E;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D810 / D810A;D850;D850;D850;D850;D850;D850;D850;D850;D850;D850;D850;D850;D850;D850
High-end;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df;Df
High-end;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;D700;;;;;;;;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D750;D780;D780;D780;D780
Advanced;;;;;;;;;;;;D100;D100;D100;D100;D100;D100;D100;D100;D100;D100;D100;D100;D100;D100;D100;D200;D200;D200;D200;D200;D200;D200;D300;D300;D300;D300;D300;D300;D300;D300;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;D300S;;;;;;;;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500;D500
Advanced;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D600;D600;D600;D600;D600;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;D610;;;;
Mid-range;;;;;;;;;;;;;;;;;;;;D70;D70;D70;D70;D70;D70s;D70s;D70s;D70s;D70s;D80;D80;D80;D80;D80;D80;D80;D80;D90;D90;D90;D90;D90;D90;D90;D90;D7000;D7000;D7000;D7000;D7000;D7000;D7000;D7000;D7000;D7000;D7000;D7100;D7100;D7100;D7100;D7100;D7100;D7100;D7200;D7200;D7200;D7200;D7200;D7200;D7200;D7200;D7200;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500;D7500
Upper-entry;;;;;;;;;;;;;;;;;;;;;;;;;D50;D50;D50;D50;D50;D50;;;D40X;D40X;D40X;D60;D60;D60;D60;D60;D5000;D5000;D5000;D5000;D5000;D5000;D5000;D5000;D5100;D5100;D5100;D5100;D5100;D5100;D5200;D5200;D5200;D5200;D5300;D5300;D5300;D5300;D5300;D5500;D5500;D5500;D5500;D5500;D5500;D5500;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600;D5600
Entry-level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D40;D40;D40;D40;D40;D40;D40;D40;D40;D40;;D3000;D3000;D3000;D3000;D3100;D3100;D3100;D3100;D3100;D3100;D3100;D3200;D3200;D3200;D3200;D3200;D3200;D3200;D3300;D3300;D3300;D3300;D3300;D3300;D3300;D3300;D3300;D3300;D3400;D3400;D3400;D3400;D3400;D3400;D3400;D3400;D3500;D3500;D3500;D3500;D3500;D3500;D3500;D3500;D3500;D3500
