Name;Creator;FOSS;Free;First public release date;Year of latest stable version;Windows;Macintosh;Linux;Other platforms;Max supported file size
Beyond Compare;Scooter Software;No, Proprietary;No;1996;2020-09-10 (v4.3.6);Yes;Yes;Yes;;> 2GB (64 bits)
Compare++;Coode Software;No, Proprietary;No;2010;2014-11-12 (2.21.2.0);Yes;No;No;;
diff, diff3;AT&T;Yes, BSD 3-clause, BSD 4-clause, CDDL, GPL, Proprietary;Yes;1974;;Yes;Yes (Mac OS X);Yes;ported to most platforms as part of SCCS;> 2GB but less than 64 bits
Eclipse (compare);;Yes, Eclipse Public License;Yes;2004-07-21;2016-09-28 (4.6.1 (Neon.1));Yes;Yes;Yes;Anything with Java;
Ediff;Michael Kifer;Yes, GPL;Yes;1994;2.81.4;Yes;Yes (Mac OS X);Yes;Anything with Emacs and diff;
ExamDiff Pro;PrestoSoft;No, Proprietary;No;1998;2017-09-23 (v 9.0.1.6);Yes (Win98 and up);No;No;;
Far Manager (compare);Eugene Roshal (original), FAR Group;Yes, Revised BSD license;Yes;1996;2017-08-07 (v3.0 build 5000);Yes;No;No;;
fc;Microsoft;No, Proprietary;Yes, Part of OS;1987;;Yes (DOS);No;No;;
FileMerge (aka opendiff);Apple Inc.;No, Proprietary;Yes, (part of Apple Developer Tools);1993 (part of NEXTSTEP 3.2);2014 (v2.8);No;Yes (Mac OS X);No;;
FreeFileSync;Zenju;Yes, GPLv3;Yes;2008;2019-09-16 (v10.16);Yes;Yes;Yes;;
Guiffy SureMerge;Guiffy Software;No, Proprietary;No;2000;2020-03-03 (v11.12);Yes;Yes;Yes;Anything with Java;> 2GB
IntelliJ IDEA (compare);JetBrains;No, Proprietary;No;2001;2019-08-20 (2019.2.1);Yes;Yes;Yes;;
jEdit JDiff plugin;Various;Yes, GPL;Yes;1998;2012-10-04 (3.3.0);Yes;Yes;Yes;Anything with Java;
Kompare;Otto Bruggeman;Yes, GPLv2+;Yes;;;Yes;Yes (Mac OS X);Yes;;
Lazarus Diff;Lazarus (software);Yes, GPL;Yes;2000;2020-07-11 (2.0.10);Yes;Yes;Yes;FreeBSD;
Meld;Stephen Kennedy;Yes, GPLv2+;Yes;2002;2019-03-31 (3.20.1);Yes;Yes;Yes;BSD, Solaris;
Notepad++ (compare);Various;Yes, GPLv3;Yes;2009;2015-01-06 (1.5.6.6);Yes;No;No;;
Perforce P4Merge;Perforce;No, Proprietary;Yes;;2019 (2019.1/1815056);Yes;Yes;Yes;Sun Solaris;
Pretty Diff;Austin Cheney;Yes, MIT-compatible;Yes;2009;2016-11-11 (2.1.14);Yes (Web);Yes (Web);Yes (Web);Node.js;
Tkdiff;Tkdiff;Yes, GPLv2+;Yes;2003 (or before);2011-11-27 (v4.2);Yes (Tcl);Yes (Tcl);Yes (Tcl);Anything with Tcl;
Total Commander (compare);Christian Ghisler;No, Proprietary;No;;2016-11-23 (v9.00);Yes;No;No;;
twdiff (TextWrangler Diff Helper);Bare Bones Software, Inc.;No, Proprietary;Yes, with TextWrangler;;2012 (1.0 (v22));No;Yes;No;No;
vimdiff;Bram Moolenaar et al.;Yes, GPL-compatible;Yes;2001;2016-10-03 (v8.0.0022);Yes;Yes;Yes;Anything with vim;
WinDiff;Microsoft;No, Proprietary;Yes, Part of Platform SDK;1992;2002-08-16 14:36:14 (v5.00.2195.6601);Yes;No;No;No;
WinMerge;Dean Grimm;Yes, GPL;Yes;1998;2020-02-23 (v2.16.6);Yes (Win95 and up);Yes (in wine);Yes (in wine);;2 GB
UCC;USC CSSE;No, USC-CSSE Limited Public License;Yes;2009;2015-12-30 (2015.12);Yes;Yes;Yes {2.6.9};Sun Solaris;
Name;Creator;FOSS;Free;First public release date;Year of latest stable version;Windows;Macintosh;Linux;Other platforms;Max supported file size
