File manager;File Name;File Contents;Basic metadata search;All metadata search;RegExp for Contents;Boolean (nesting levels);Fuzzy logic;Save searches;Refined searches
Altap Salamander;Yes;?;Yes;?;Yes;Yes;?;Yes;Yes
Commander One;Yes;Yes;Yes;Yes;Yes;Yes;?;No;No
CRAX Commander;Yes;Yes;Yes;?;Yes;Yes;?;No;No
Directory Opus;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Dired;Yes;?;No;No;Yes;Yes;Yes;No;No
Documents by Readdle;;;;;;;;;
Dolphin;Yes;?;Yes;Yes;Yes;Yes;?;?;Yes
Double Commander;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?
emelFM2;Yes;?;Yes;Yes;?;?;?;Partial;?
FAR Manager;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes
File Commander;Yes;No;Yes;No;No;Yes;No;Yes;No
Files (Apple);;;;;;;;;
Files by Google;;;;;;;;;
Finder;Yes;?;Yes;Yes;No;?;?;Yes;?
ForkLift;Yes;Partial;Yes;Yes;Yes;Yes;?;No;No
Konqueror;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
Krusader;Yes;?;Yes;Yes;Yes;No;No;Yes;Yes
GNOME Files (Nautilus);Yes;?;Partial;Partial;?;?;?;Yes;?
Nemo;?;?;?;?;?;?;?;?;?
Nomad.NET;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
Path Finder;Yes;?;Yes;Yes;No;No;?;No;No
PCManFM;Yes;?;Yes;No;Yes;No;No;No;No
ROX-Filer;Yes;?;Yes;Yes;Yes;Yes;?;No;?
Total Commander;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Partial
Windows Explorer;Yes;No;Yes;No;No;?;?;Yes;Yes
Xandros File Manager;?;?;?;?;?;?;?;?;?
Xfe;Yes;Yes;Yes;No;No;No;No;No;No
Xfile;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes
Xfm;?;?;?;?;?;?;?;?;?
xplorer²;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes
XYplorer;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ZTreeWin;Yes;Yes;Yes;Partial;Partial;Yes;Yes;Yes;Yes
File manager;File Name;File Contents;Basic metadata search;All metadata search;RegExp for Contents;Boolean (nesting levels);Fuzzy logic;Save searches;Refined searches
