File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/ read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Checksum/ ECC
BeeGFS;Yes;Yes;No;Yes;Yes;No;Yes;?;Yes;Yes
CP/M file system;No;No;Yes;No;No;No;No;No;No;No
DECtape;No;No;Yes;No;No;No;No;No;No;No
Elektronika BK tape format;No;No;No;No;No;No;No;No;No;Yes
Level-D;Yes;Yes;Yes;Yes (date only);Yes;Yes;Yes (FILDAE);No;No;No
RT-11;No;No;Yes (date only);No;No;No;No;No;No;Yes
Version 6 Unix file system (V6FS);Yes;Yes;No;Yes;No;No;No;No;No;No
Version 7 Unix file system (V7FS);Yes;Yes;No;Yes;No;No;No;No;No;No
exFAT;No;No;Yes;Yes;No;No;No;No;No;No
FAT12/FAT16/FAT32;No;No;Yes;Yes;No;No;No;No;No;No
HPFS;Yes;No;Yes;Yes;No;No;No;?;Yes;No
NTFS;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
ReFS;Yes;Yes;Yes;Yes;Yes;No;Yes;?;Yes;Yes
HFS;No;No;Yes;No;No;Yes;No;No;Yes;No
HFS Plus;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;No
FFS;Yes;Yes;No;Yes;Yes;No;No;No;No;No
UFS1;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No
UFS2;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Partial
HAMMER;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;No;Yes
LFS;Yes;Yes;No;Yes;Yes;No;No;No;No;No
ext;Yes;Yes;No;No;No;No;No;No;No;No
Xiafs;Yes;Yes;No;Yes;Yes;No;No;No;No;No
ext2;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No
ext3;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No
ext4;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Partial
NOVA;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes
Lustre;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No
F2FS;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
GPFS;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
GFS;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No
NILFS;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes
ReiserFS;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No
Reiser4;Yes;Yes;No;Yes;Yes;No;No;No;No;No
OCFS;No;Yes;No;No;Yes;Yes;No;No;No;No
OCFS2;Yes;Yes;No;Yes;Yes;No;No;No;No;No
XFS;Yes;Yes;Partial;Yes;Yes;No;Yes;Yes;Yes;Partial
JFS;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
QFS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No
BFS;Yes;Yes;Yes;No;No;No;No;No;Yes;No
AdvFS;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
NSS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;No
NWFS;Yes;?;Yes;Yes;Yes;Yes;Yes;?;Yes;No
ODS-5;Yes;Yes;Yes;?;?;Yes;Yes;?;Yes;No
APFS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Partial
VxFS;Yes;Yes;Yes;Yes;Yes;No;Yes;?;Yes;No
UDF;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No
Fossil;Yes;Yes;No;Yes;Yes;No;No;No;No;No
ZFS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Btrfs;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Minix V1;Yes;Yes;No;No;No;No;No;No;No;No
Minix V2;Yes;Yes;No;Yes;Yes;No;No;No;No;No
Minix V3;Yes;Yes;No;Yes;Yes;No;No;No;No;No
VMFS2;Yes;Yes;No;Yes;Yes;No;No;No;No;No
VMFS3;Yes;Yes;No;Yes;Yes;No;No;No;No;No
ISO 9660:1988;No;No;Yes;No;No;No;No;No;No;No
Rock Ridge;Yes;Yes;No;Yes;Yes;No;No;No;No;No
Joliet ("CDFS");No;No;Yes;No;No;No;No;No;No;No
ISO 9660:1999;No;No;Yes;No;No;No;No;No;No;No
High Sierra;No;No;Yes;No;No;No;No;No;No;No
SquashFS;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No
File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Checksum/ ECC
