File system;Host OS;Offline grow;Online grow;Offline shrink;Online shrink;add and remove physical volumes
FAT16 / FAT16B / FAT16X;misc.;Yes;No;Yes;No;No
FAT32 / FAT32X;misc.;Yes;No;Yes;No;No
exFAT;misc.;No;No;No;No;No
NTFS;Windows;Yes;Yes;Yes;Yes;No
ReFS;Windows;?;Yes;?;No;No
HFS+;macOS;No;Yes;No;Yes;No
APFS;macOS;?;?;?;?;?
HFS+;Linux;No;No;No;No;No
SquashFS;Linux;No;No;No;No;No
NOVA;Linux;No;No;No;No;No
JFS;Linux;Yes;No;No;No;No
XFS;Linux;No;Yes;No;No;No
Lustre;Linux;?;Yes;No;No;Yes
F2FS;Linux;Yes;No;No;No;No
NTFS;Linux;Yes;No;Yes;No;No
ext2;Linux;Yes;No;Yes;No;No
ext3;Linux;Yes;Yes;Yes;No;No
ReiserFS;Linux;Yes;Yes;Yes;No;No
Reiser4;Linux;Yes;Yes;Yes;No;No
ext4;Linux;Yes;Yes;Yes;No;No
Btrfs;Linux;Yes;Yes;Yes;Yes;Yes
NILFS;Linux;No;Yes;No;Yes;No
ZFS;misc.;No;Yes;No;Partial;Yes
JFS2;AIX;?;Yes;?;Yes;No
UFS2;FreeBSD;Yes;Yes (FreeBSD 10.0-RELEASE or later);No;No;No
HAMMER;DragonflyBSD;?;?;?;?;?
