Name;English;Afrikaans;Danish;Dutch;French;German;Italian;Norwegian;Polish;Portuguese;Russian;Spanish;Swedish
Agelong Tree;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;?;Yes;Yes;No
Ahnenblatt;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes
Ancestral Quest;Yes;No;Yes;No;Yes;Yes;No;Yes;Partial;?;No;Yes;Partial
Ancestris;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
Brother's Keeper;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;?;Yes;No;Yes
Family Historian;Yes;No;No;No;No;No;No;No;No;?;No;No;No
Family Tree Builder;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes
Family Tree Maker (Windows);Yes;No;Yes;No;No;No;No;No;No;?;No;No;No
Family Tree Maker for Mac;Yes;No;No;No;No;No;No;No;No;?;No;No;No
GEDitCOM II;Yes;No;No;No;Yes;No;No;No;No;?;No;Yes;Yes
Genbox Family History;Yes;No;Yes;Yes;Yes;Yes;Yes;Partial;Yes;?;Yes;Partial;Partial
GenealogyJ;Yes;No;No;Yes;Yes;Yes;No;No;Yes;?;Yes;Yes;No
GenoPro;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;?;Yes;Yes;Yes
Gramps;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes
Heredis;Yes;No;No;No;Yes;Yes;No;No;No;?;No;No;No
Legacy Family Tree;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;?;No;public test;Yes
LifeLines;Yes;No;Yes;No;Yes;Yes;No;No;No;?;No;No;Yes
MacFamilyTree;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes
Personal Ancestral File;(v4.x/5.x);No;No;No;(v4.x);(v4.x/5.x);No;No;No;?;No;(v4.x);(v5.x)
Reunion;Yes;No;No;Yes;Yes;Yes;No;Yes;No;?;No;No;No
RootsMagic;Yes;No;No;No;No;No;No;No;No;?;No;No;No
The Master Genealogist;Yes;Yes;Yes;Yes;Yes;Yes;Partial;Yes;No;?;No;No;Yes
webtrees;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
