;Trident;Gecko;WebKit;Presto
<audio> attributes;<audio> attributes;<audio> attributes;<audio> attributes;<audio> attributes
src;5.0;1.9.1;525;2.5
preload;5.0;2.0;525;Experimental
autoplay;5.0;1.9.1;525;2.5
loop;5.0;11.0;525;2.5
controls;5.0;1.9.1;525;2.5
<video> attributes;<video> attributes;<video> attributes;<video> attributes;<video> attributes
src;5.0;1.9.1;525;2.5
preload;5.0;2.0;525;Experimental
autoplay;5.0;1.9.1;525;2.5
loop;5.0;11.0;525;2.5
controls;5.0;1.9.1;525;2.5
poster;5.0;1.9.2;525;2.5
width;5.0;1.9.1;525;2.5
height;5.0;1.9.1;525;2.5
<source> attributes;<source> attributes;<source> attributes;<source> attributes;<source> attributes
src;5.0;1.9.1;525;2.5
type;5.0;1.9.1;525;2.5
media;5.0;15.0;525;2.5
<track> attributes;<track> attributes;<track> attributes;<track> attributes;<track> attributes
kind;6.0;24.0;Yes;No
label;6.0;24.0;Yes;No
src;6.0;24.0;Yes;No
srclang;6.0;24.0;Yes;No
