;Trident;EdgeHTML;Gecko;WebKit;Presto
section;5.0;12;2.0;533;2.7.70
nav;5.0;12;2.0;533;2.7.70
article;5.0;12;2.0;533;2.7.70
aside;5.0;12;2.0;533;2.7.70
hgroup;5.0;12;2.0;533;2.7.70
header;5.0;12;2.0;533;2.7.70
footer;5.0;12;2.0;533;2.7.70
ping;No;No;Disabled;Yes;No
time;No;No;22.0;No;2.8.146
mark;5.0;12;2.0;Yes;2.7.70
ruby, rt, rp;3.1;12;38.0;533;No
dialog;No;No;No;Only in Chrome;No
figure;5.0;12;2.0;Yes;2.7.70
figcaption;5.0;12;2.0;Yes;2.7.70
embed;<3.1;12;1.7;85;1.0
video;5.0 (Partial);12;15.0;525;2.5
audio;5.0 (Partial);12;15.0;525;2.5
source;5.0 (Partial);12;15.0;525;2.5
canvas;5.0 (Partial);Partial;1.9.2;Partial;2.0
Inline MathML;No;No;2.0;No;2.1
Inline SVG;5.0;12;2.0;Yes;2.9.220
details;No;No;47;Yes;No
summary;No;No;47;Yes;No
command;No;No;No;No;No
menu;No;No;8.0;No;2.8
bdi;No;No;10.0;528;No
data;No;No;22.0;No;No
picture;No;13;38.0;No;No
;Trident;EdgeHTML;Gecko;WebKit;Presto
