Card;Varieties;Max storage capacity (nom. in GiB);Theoretical max. capacity (nom. in GiB);Max read speed (MB/s);Max write speed (MB/s);Read-write cycles;Low-level access;Operating voltage (V);Controller chip;# of pins
CompactFlash;I;512;128 PiB (134,217,728 GiB);167;167;;NOR/NAND;3.3 and 5;Yes;50
CompactFlash;II;12;128 PiB (134,217,728 GiB);167;167;;NOR/NAND;3.3 and 5;Yes;50
SmartMedia;;128 MiB (0.125 GiB);;2;;1,000,000;NAND;3.3 or 5;No;22
MMC;MMC;8;128;2;2;1,000,000;NAND;3.3;Yes;7
MMC;RS-MMC;2;128;2;2;1,000,000;NAND;3.3;Yes;7
MMC;MMCmobile;2;128;15;8;1,000,000;NAND;1.8 and 3.3;Yes;13
MMC;MMCplus;4;128;52;52;1,000,000;NAND;3.3;Yes;13
MMC;MMCmicro;2;128;;;1,000,000;NAND;1.8 and 3.3;Yes;10
MMC;eMMC;;2 TiB (2048 GiB);104;104;;NAND;1.8 and 3.3;Yes;Varies
Secure Digital;SD (SDSC);512;4;25;25;;NAND;3.3;Yes;9
Secure Digital;miniSD;8;4;25;25;;NAND;3.3;Yes;11
Secure Digital;microSD;4;4;25;25;;NAND;3.3;Yes;8
Secure Digital;SDHC;32;32;104 (UHS-I);104 (UHS-I);;NAND;1.8 and 3.3;Yes;9
Secure Digital;miniSDHC;4;32;104 (UHS-I);104 (UHS-I);;NAND;1.8 and 3.3;Yes;11
Secure Digital;microSDHC;32;32;104 (UHS-I);104 (UHS-I);;NAND;1.8 and 3.3;Yes;8
Secure Digital;SDXC;512;2 TiB (2048 GiB);104 (UHS-I);104;;NAND;2.7–3.6;Yes;9
Secure Digital;microSDXC;1 TiB;2 TiB (2048 GiB);104 (UHS-I);104 (UHS-I);;NAND;2.7–3.6;Yes;8
Memory Stick;Standard;128 MiB (0.125 GiB);128 MiB (0.125 GiB);2.5;1.8;;NAND;3.3;Yes;10
Memory Stick;PRO;4;2 TiB (2048 GiB);20;20;;NAND;3.3;Yes;10
Memory Stick;PRO Duo;32;2 TiB (2048 GiB);20;20;;NAND;3.3;Yes;10
Memory Stick;PRO-HG Duo;32;2 TiB (2048 GiB);30 (actual, theoretical: 60);30 (actual, theoretical: 60);;NAND;3.3;Yes;10
Memory Stick;Micro (M2);16;32;20;20;;NAND;1.8 and 3.3;Yes;10
Memory Stick;xC;;2 TiB (2048 GiB);60;60;;NAND;3.3;Yes;10
xD;;512 MiB (0.5 GiB);512 MiB (0.5 GiB);5;3;;NAND;3.3;No;18
xD;Type M;2;8;4;2.5;;NAND;3.3;No;18
xD;Type H;2;8;5;4;;NAND;3.3;No;18
xD;Type M+;2;8;6;3.75;;NAND;3.3;No;18
XQD;;64;2+ TiB (2+ GiB);168;168;;NAND;5;;
USB;Full speed (USB 1);2048 (2 TiB);No hardware limit;1;1;;NAND;5;Yes;4
USB;High speed (USB 2.0);2048 (2 TiB);No hardware limit;40;40;;NAND;5;Yes;4
USB;Super speed (USB 3.0);2048 (2 TiB);No hardware limit;240;160;;NAND;5;Yes;4
