Name;x86, i386, IA-32;x86 SMP;Xen;IA-64;x86-64;PowerPC;PowerPC SMP;SPARC32;SPARC SMP;Alpha;MIPS;ARM;XScale;M68k;PA-RISC;OpenRISC;others;hosted mode
Linux;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperH;UML, coLinux, MkLinux, Itanium Linux-on-Linux, wombat
FreeBSD;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;PC98;
OpenBSD;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;SuperH ];
NetBSD;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;SuperH, ns32k, VAX, hppa, M68010, mipseb, mipsel, sh3eb, sh3el, sparc64;
DragonFly BSD;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;vkernel
OpenSolaris illumos;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;;
Darwin, OpenDarwin;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;;L4/Darwin
MINIX;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;
FreeDOS;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;
Genode;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;RISC-V;Linux
Haiku;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;
KolibriOS;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;
MenuetOS;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;
GNU;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperH;UML, Itanium Linux-on-Linux
ReactOS;Yes;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;;
RISC OS;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;
L4, Pistachio;Yes;No;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;;
Plan 9;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;See;lguest, vx32
AROS;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;;i386-linux, i386-freebsd
Syllable;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;
Inferno;Yes;?;No;No;?;Yes;?;Yes;?;No;Yes;Yes;Yes;Yes;No;No;AMD Am29000, Texas Instruments OMAP;Microsoft Windows, Linux, FreeBSD, Plan 9, OS X, Solaris, Irix, UnixWare, HP-UX, Internet Explorer
FreeRTOS;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;AVR, PIC, MSP430, HCS12, 8052, MicroBlaze, Cortex-M3, H8S;
eCos;Yes;Yes;No;No;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;CalmRISC, ColdFire, FR-V, h8, Matsushita AM3x, Nios II, NEC V8xx, SuperH;Microsoft Windows, Linux
RTEMS;Yes;No;Xen;No;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Blackfin, Nios II, Coldfire, Texas Instruments C3x/C4x, SuperH, H8S;Linux, Solaris, Cygwin, FreeBSD, multiple CPU simulators
HelenOS;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;No;;
E/OS;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;
TempleOS;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;QEMU, VirtualBox, etc.
Name;x86, i386, IA-32;x86 SMP;Xen;IA-64;x86-64;PowerPC;PowerPC SMP;SPARC32;SPARC SMP;Alpha;MIPS;ARM;XScale;M68k;PA-RISC;OpenRISC;other;hosted mode
