Engine;Origin;Designer;Vehicle;Status;Use;Propellant;Specific impulse (s);Thrust (N);Mass (kg);Thrust:weight ratio;Chamber pressure (bar);Oxidiser:fuel ratio
Aeon 1;USA;Relativity Space;Terran 1;Development;1st;CH / LOX;310;86,740 (SL);;;;
Aeon 1 Vacuum;USA;Relativity Space;Terran 1;Development;2nd;CH / LOX;360;100,085 (SL);;;;
AJ-10-190;USA;Aerojet;Space Shuttle Orion;Active;Upper;NO/MMH;316;26,689;118;23.08;8.62;
AJ-60A;USA;Aerojet;Atlas V;Active;Booster;HTPB;275;1,270,000;;;;
AR1;USA;Aerojet Rocketdyne;Beta (potential);Development;1st;RP-1 / LOX;;2,200,000 (SL);;;;2.72
BE-3;USA;Blue Origin;New Shepard;Active;1st;LH / LOX;;490,000;;;;
BE-3U;USA;Blue Origin;New Glenn;Development;2nd;LH / LOX;;710,000;;;;
BE-4;USA;Blue Origin;New Glenn Vulcan;Development;1st;CH / LOX;;2,400,000;;;134;
CE-20;India;LPSC;GSLV Mk III;Active;Upper;LH / LOX;443;200,000;588;34.7;60.00;5.05
CE-7.5;India;LPSC;GSLV Mk II;Active;Upper;LH / LOX;454;73,500;445;16.85;58;
Engine-2;USA;Launcher Space;Rocket-1;Development;1st;RP-1 / LOX;327 290 (SL);100,000;;;;2.62
Engine-2 Vacuum;USA;Launcher Space;Rocket-1;Development;2nd;RP-1 / LOX;365;100,000;;;;2.62
GEM 63;USA;Northrop Grumman;Atlas V;Development;Booster;HTPB;;1,662,745;44,225;;;
GEM 63XL;USA;Northrop Grumman;Vulcan;Development;Booster;HTPB;;2,025,720;47,990;;;
Hadley;USA;Ursa Major Technologies;GOLauncher 1;Development;1st;RP-1 / LOX;;22,241 (SL);;;;
HM-7B;Europe;Snecma;Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA;Active;Upper;LH / LOX;446 310 (SL);64,800 43,600 (SL);165;43.25;37;5
LE-5B;Japan;Mitsubishi JAXA;H-IIA H-IIB;Active;Upper;LH / LOX;447;137,000;269;51.93;36.0;5
LE-7A;Japan;Mitsubishi JAXA;H-IIA H-IIB;Active;1st;LH / LOX;438 338 (SL);1,098,000 870,000 (SL);1,800;62.2;121;5.9
Lightning 1;USA;Firefly Aerospace;Alpha;Development;2nd;RP-1 / LOX;322;70,100;;;;
Merlin 1D FT;USA;SpaceX;Falcon 9 B5 Falcon Heavy;Active;1st;RP-1 / LOX;311;914,000 845,000 (SL);470;194.5;;
Merlin Vacuum 1D;USA;SpaceX;Falcon 9 B5 Falcon Heavy;Active;2nd;RP-1 / LOX;348;981,000;;;;2.36
Mira (LM10);Italy;Avio;Vega E;Development;3rd;CH / LOX;362.3;98,100;250;40;;3.4
NewtonThree;USA;Virgin Galactic;LauncherOne;Development;Booster;RP-1 / LOX;;266,893;;;;
