Language;Failsafe I/O
1C:Enterprise;Yes
Ada;Yes (exceptions)
ALGOL;Yes (exceptions or return value depending on function)
AutoHotkey;No (global ErrorLevel must be explicitly checked)
Bash;Optional
Ballerina;Yes
Bro;Yes
C;No
C++;Some (STL iostreams throw on failure but C APIs like stdio or POSIX do not)
C#;Yes
COBOL;No
Common Lisp;Yes ("conditions and restarts" system)
Curry;Yes
D;Yes (throwing on failure)
Eiffel;No – It actually depends on the library and it is not defined by the language
Erlang;Yes
Fortran;Yes
GLBasic;No – Will generally cause program to crash
Go;Yes (unless result explicitly ignored)
Gosu;Yes
Harbour;Yes
Haskell;Yes
ISLISP;Yes
Java;Yes
Julia;Yes
Kotlin;Yes
LabVIEW;Yes
Lua;No (some functions do not warn or throw exceptions)
Mathematica;Yes
Object Pascal;Some
Objective-C;Yes (exceptions)
OCaml;Yes (exceptions)
OpenLisp;Yes
Perl;No
PHP;Yes
Python;Yes
Raku;Yes
Rebol;Yes
Rexx;Yes (with optional signal on... trap handling)
RPG;No
Ruby;Yes
Rust;Yes (unless result explicitly ignored)
S;Unknown
Smalltalk;Yes
Scala;Yes
Standard ML;Yes
Swift ≥ 2.0;Yes (exceptions)
Tcl;Yes
Visual Basic;Yes
Visual Basic .NET;Yes
Visual Prolog;Yes
Wolfram Language;Yes
Xojo;Yes
XPath/XQuery;Yes (exceptions)
Language;Failsafe I/O
