;Simple composite types;Simple composite types;Algebraic data types;Unions
;Records;Tuple expression;Algebraic data types;Unions
Ada;type identifier is «abstract» «tagged» «limited» [record fieldname : type, fieldname : type, ... end record |null record];N/A;Any combination of records, unions and enumerations (as well as references to those, enabling recursive types).;type identifier (variation : discrete_type) is record case variation is when choice_list => fieldname : type, ... when choice_list => fieldname : type, ... ...end case,end record
ALGOL 68;struct (modename «fieldname», ...),;Required types and operators can be user defined;Required types and operators can be user defined;union (modename, ...),
C (C99);struct «name» {type name,...},;N/A;N/A;union {type name,...},
Objective-C;struct «name» {type name,...},;N/A;N/A;union {type name,...},
C++;struct «name» {type name,...},;«std::»tuple<type..type>;N/A;union {type name,...},
C#;struct name {type name,...};(val, val, ... );;N/A
Java;N/A;;;N/A
JavaScript;;N/A;;N/A
D;struct name {type name,...};;std.variant.Algebraic!(type,...);union {type name,...}
Go;struct { «name» type ...};;;
Rust;struct name {name: type, ...};(val, val, ... );enum name { Foo(types), ...};union name {name: type, ...}
Swift;struct name { var name «: type» ...};(«name:» val, «name:» val, «name:» val, ... );enum name { case Foo«(types)» case Bar «(types)» ... };
Common Lisp;(defstruct name slot-name (slot-name initial-value) (slot-name initial-value :type type) ...);(cons val val);;
Scheme;N/A;(cons val val);;
ISLISP;;(cons val val);;
Pascal;record name: type, ...end;N/A;N/A;record case type of value: (types), ...end
Visual Basic;;;;
Visual Basic .NET;Structure name Dim name As type ... End Structure;(val, val, ... );;
Python;N/A;«(»val, val, val, ... «)»;;N/A
S-Lang;struct {name [=value], ...};;;
Fortran;TYPE name type :: name ... END TYPE;;;
PHP;N/A;;;
Perl;N/A;;;N/A
Raku;N/A;;;N/A
Ruby;OpenStruct.new({:name => value});;;N/A
Scala;case class name(«var» name: type, ...);(val, val, val, ... );abstract class name case class Foo(«parameters») extends name case class Bar(«parameters») extends name ... or abstract class name case object Foo extends name case object Bar extends name ... or combination of case classes and case objects;
Windows PowerShell;;;;
OCaml;type name = {«mutable» name : type,...};«(»val, val, val, ... «)»;type name = Foo «of type» | Bar «of type» | ...;N/A
F#;type name = {«mutable» name : type,...};«(»val, val, val, ... «)»;type name = Foo «of type» | Bar «of type» | ...;N/A
Standard ML;type name = {name : type,...};(val, val, val, ... );datatype name = Foo «of type» | Bar «of type» | ...;N/A
Haskell;data Name = Constr {name :: type,...};(val, val, val, ... );data Name = Foo «types» | Bar «types» | ...;N/A
COBOL;level-number name type clauses. level-number+n name type clauses. ...;N/A;N/A;name REDEFINES variable type.
