;current object;current object's parent object;null reference;Current Context of Execution
Smalltalk;self;super;nil;thisContext
ABAP Objects;me;super;initial;
APL (Dyalog);⎕THIS;⎕BASE;⎕NULL;
C++ (STL);*this;;NULL, nullptr;
C#;this;base;null;
Java;this;super;null;
D;this;super;null;
JavaScript;this;super (ECMAScript 6);null, undefined;
eC;this;;null;
Objective-C;self;super;nil;
Swift;self;super;nil;
Python;self;super(current_class_name, self) super() (3.x only);None;
Visual Basic .NET;Me;MyBase;Nothing;
Xojo;Me / Self;Parent;Nil;
Eiffel;Current;Precursor «{superclass}» «(args)»;Void;
PHP;$this;parent;null;
Perl;$self;$self->SUPER;undef;
Raku;self;SUPER;Nil;
Ruby;self;super«(args)»;nil;binding
Windows PowerShell;$this;;$NULL;
OCaml;self;super;N/A;
F#;this;base;null;
COBOL;SELF;SUPER;NULL;
Cobra;this;base;nil;
