;R-/R+ tree;Hash;Expression;Partial;Reverse;Bitmap;GiST;GIN;Full-text;Spatial;FOT;Duplicate index prevention
4th Dimension;?;Cluster;?;?;?;?;?;?;Yes;?;?;No
ADABAS;?;?;?;?;?;?;?;?;?;?;?;No
Adaptive Server Enterprise;No;No;Yes;No;Yes;No;No;No;Yes;?;?;No
Advantage Database Server;No;No;Yes;No;Yes;Yes;No;No;Yes;?;?;No
Apache Derby;No;No;No;No;No;No;No;No;No;?;?;No
ClustrixDB;No;Yes;No;No;No;No;No;No;No;No;?;No
CUBRID;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No
DB2;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;?;?;No
Empress Embedded Database;Yes;No;No;Yes;No;Yes;No;No;No;?;?;No
EXASolution;No;Yes;No;No;No;No;No;No;No;?;?;No
Firebird;No;No;Yes;No;Yes;No;No;No;No;?;?;No
HSQLDB;No;No;No;No;No;No;No;No;No;?;?;No
H2;No;Yes;No;No;No;No;No;No;Yes;Yes;?;No
Informix Dynamic Server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Ingres;Yes;Yes;Ingres v10;No;No;Ingres v10;No;No;No;?;?;No
InterBase;No;No;No;No;No;No;No;No;No;?;?;No
Linter SQL RDBMS;No;Yes temporary indexes for equality joins;Yes for some scalar functions like LOWER and UPPER;No;No;No;No;No;Yes;No;No;Yes
LucidDB;No;No;No;No;No;Yes;No;No;No;?;?;No
MariaDB;Aria and MyISAM tables and, since v10.2.2, InnoDB tables only;MEMORY, InnoDB, tables only;PERSISTENT virtual columns only;No;No;No;No;No;Yes;Aria and MyISAM tables and, since v10.2.2, InnoDB tables only;?;No
MaxDB;No;No;No;No;No;No;No;No;No;?;?;No
Microsoft Access (JET);No;No;No;No;No;No;No;No;No;?;?;No
Microsoft Visual Foxpro;No;No;Yes;Yes;Yes;Yes;No;No;No;?;?;No
Microsoft SQL Server;Spatial Indexes;Yes;Yes;Yes;on Computed columns;Bitmap filter index for Star Join Query;No;No;Yes;Yes;?;No
Microsoft SQL Server Compact (Embedded Database);No;No;No;No;No;No;No;No;No;?;?;No
Mimer SQL;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No
MonetDB;No;Yes;No;No;No;No;No;No;No;No;No;No
MySQL;Spatial Indexes;MEMORY, Cluster (NDB), InnoDB, tables only;No;No;No;No;No;No;MyISAM tables and, since v5.6.4, InnoDB tables;MyISAM tables and, since v5.7.5, InnoDB tables;?;No
OpenLink Virtuoso;Yes;Cluster;Yes;Yes;No;Yes;No;No;Yes;Yes (Commercial only);No;No
Oracle;Yes;Cluster Tables;Yes;Yes;Yes;Yes;No;No;Yes;Yes;?;Yes
Oracle Rdb;No;Yes;?;No;No;?;No;No;?;?;?;No
Pervasive PSQL;No;No;No;No;No;No;No;No;No;No;No;No
Polyhedra DBMS;No;Yes;No;No;No;No;No;No;No;No;?;No
PostgreSQL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PostGIS;?;No
Raima Database Manager;Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No
RDM Server;No;No;No;Yes;Yes;No;No;No;No;No;No;No
SAP HANA;?;?;?;?;?;?;?;?;?;?;?;No
solidDB;No;No;No;No;Yes;No;No;No;No;No;No;No
SQL Anywhere;No;No;Yes;No;No;No;No;No;Yes;Yes;?;Yes
SQLite;Yes;No;Yes;Yes;No;No;No;No;Yes;SpatiaLite;?;No
SQream DB;?;?;?;?;Yes;?;?;?;?;?;?;No
Teradata;No;Yes;Yes;Yes;No;Yes;No;No;?;?;?;No
UniVerse;Yes;Yes;Yes;Yes;Yes;No;No;No;?;Yes;?;No
;R-/R+ tree;Hash;Expression;Partial;Reverse;Bitmap;GiST;GIN;Full-text;Spatial;FOT;Duplicate index prevention
