Model (Codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Core;Core;Fillrate;Fillrate;Processing power (GFLOPS);Processing power (GFLOPS);Memory;Memory;Memory;Memory;TBP (W);Bus interface
Model (Codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Config;Clock (MHz);Texture (GT/s);Pixel (GP/s);Single;Double;Bus type & width;Size (GiB);Clock (MT/s);Band- width (GB/s);TBP (W);Bus interface
Radeon 520;April 18, 2017 OEM;GCN 1 gen 28 nm;Unknown;320:20:4 5 CU;1030;20.6;4.1;659;Unknown;GDDR5 64-bit;1 2;4500;48;Unknown;Unknown
Radeon 530;April 18, 2017 OEM;GCN 3 gen 28 nm;? 125 mm;320:20:8 384:24:8 6/5 CU;1024;24.6;8.2;655 786;Unknown;GDDR5 64-bit;1 2 4;4500;48;Unknown;Unknown
Radeon 530;April 18, 2017 OEM;GCN 3 gen 28 nm;? 125 mm;320:20:8 384:24:8 6/5 CU;1024;24.6;8.2;655 786;Unknown;DDR3;1 2 4;Unknown;Unknown;Unknown;Unknown
Radeon RX 540 (Lexa);April 18, 2017 OEM;GCN 4 gen Samsung/GloFo 14LPP;2.2×10 101 mm;512:32:16 8 CU;1219;39;19.5;1248;78;GDDR5 128-bit;2 4;6000;96;Unknown;PCIe 3.0 x8
Radeon RX 550 (Lexa);April 20, 2017 $79 USD;GCN 4 gen Samsung/GloFo 14LPP;2.2×10 101 mm;640:40:16 10 CU;1100 1183;35.2 37.9;17.6 18.9;1126 1211;70.4 75.7;GDDR5 128-bit;2 4;7000;112;50;PCIe 3.0 x8
Radeon 550X (Lexa);April 11, 2018 OEM;GCN 4 gen Samsung/GloFo 14LPP;2.2×10 101 mm;640:40:16 10 CU;1287;51.48;20.6;1647;103;GDDR5 64-bit;2 4;7000;56;50;PCIe 3.0 x8
Radeon RX 550X (Lexa);April 3, 2018 $79 USD;GCN 4 gen Samsung/GloFo 14LPP;2.2×10 101 mm;512:40:16 640:40:16 8/10 CU;1287;51.48;20.6;1318 1647;82.4 103;GDDR5 128-bit;2 4;7000;112;50;PCIe 3.0 x8
Radeon RX 560D;July 2017 Only available in China and through OEMs;GCN 4 gen Samsung/GloFo 14LPP;3.0×10 123 mm;896:56:16 14 CU;1090 1175;61.0 65.8;17,4 18.8;1953 2106;122,0 131.6;GDDR5 128-bit;2 4;6000;96;65;PCIe 3.0 x8
Radeon RX 560 (Baffin);October 2017 $99 USD;GCN 4 gen Samsung/GloFo 14LPP;3.0×10 123 mm;896:56:16 14 CU;1090 1175;61.0 65.8;17.4 18.8;1953 2106;122.0 131.6;GDDR5 128-bit;2 4;7000;112;60-80;PCIe 3.0 x8
Radeon RX 560 (Baffin);May 2017 $99 USD;GCN 4 gen Samsung/GloFo 14LPP;3.0×10 123 mm;1024:64:16 16 CU;1175 1275;75.2 81.6;18.8 20.4;2406 2611;150.4 163.2;GDDR5 128-bit;2 4;7000;112;60–80;PCIe 3.0 x8
Radeon RX 570 (Polaris20 XL);April 18, 2017 $169 USD;GCN 4 gen Samsung/GloFo 14LPP;5.7×10 232 mm;2048:128:32 32 CU;1168 1244;149.5 159.2;37.4 39.8;4784 5095;299.0 318.4;GDDR5 256-bit;4 8;7000;224;150;PCIe 3.0 x16
Radeon RX 580 (Polaris20 XT);April 18, 2017 $199 USD (4 GB) $229 USD (8 GB);GCN 4 gen Samsung/GloFo 14LPP;5.7×10 232 mm;2304:144:32 36 CU;1257 1340;181.0 193.0;40.2 42.9;5792 6175;362.0 385.9;GDDR5 256-bit;4 8;8000;256;185;PCIe 3.0 x16
Radeon RX 590 GME;March 9, 2020 Only available in China;Unknown;5.7×10 232 mm;2304:144:32 36 CU;1257 1380;181.0 198.7;40.2 44.2;5792 6359;362.0 397.4;GDDR5 256-bit;8;8000;256;Unknown;PCIe 3.0 x16
Radeon RX 590 (Polaris30 XT);November 15, 2018 $279 USD;GCN 4 gen Samsung/GloFo 12LP (14LP+);5.7×10 232 mm;2304:144:32 36 CU;1469 1545;211.5 222.5;47.0 49.4;6769 7120;423.0 444.9;GDDR5 256-bit;8;8000;256;225;PCIe 3.0 x16
