 ; Modeling ; 3D Painting ; Animation ; Rendering ; 3D Tracking ; Compositing 
 3ds Max ; yes ; yes ; yes ; yes ; no ; some 
 AC3D ; yes ; ? ; ? ; no ; no ; no 
 Blender ; yes ; yes ; yes ; yes ; yes ; yes 
 Electric Image Animation System ; droppedEIAS3D releases EIAS 9 CG Channel November 6, 2012 ; ? ; yes ; yes ; no ; ? 
 Cinema 4D ; yes ; yes ; yes ; yes ; R16 or later ; no 
 Clara.io ; yes ; ? ; yes ; yes ; no ; ? 
 Cobalt ; yes ; ? ; yes ; yes ; no ; ? 
 HiCAD ; yes ; yes ; yes ; yes ; no ; no 
 Houdini ; yes ; no ; yes ; yes ; no ; yes 
 IClone ; yes ; ? ; yes ; yes ; ? ; ? 
 Lightwave 3D ; yes ; no ; yes ; yes ; no ; yes 
 MakeHuman ; parameter-based ; no ; no ; no ; no ; no 
 Maya ; yes ; yes ; yes ; yes ; dropped (Maya Live) ; dropped (Maya Composer, Maya Fusion, and Maya Composite) 
 Metasequoia ; yes ; no ; no ; yes ; no ; no 
 Modo ; yes ; yes ; yes ; yes ; no ; no 
 Remo 3D ; yes ; no ; yes ; yes ; no ; no 
 Shade ; yes ; no ; yes ; yes ; no ; no 
 Softimage ; yes ; 3.7 or later ; yes ; yes ; no ; yes 
 Solid Edge ; yes ; ? ; yes ; yes ; no ; ? 
 SketchUp Make ; yesSketchUp User Guide: Creating a 3D Model ; ? ; yes ; yes ; no ; no 
 SketchUp Pro ; yes ; ? ; yes ; yes ; no ; no 
 Wings3D ; yes ; ? ; no ; yes ; no ; ? 
