 Manufacturer ; Module ; SOC/SIP Chip ; MCU core ; RAM ; Flash ; Antenna ; Sleep ; TX ; RX ; TX Power ; Sensitivity ; PCB Size ; Released ; Interfacing ; Firmware options 
 Anaren ; A2530R24A  Data sheet ; CC2530  Data sheet ; 32MHz  8-bit 8051 ; 8kB ; 256kB ; Printed Trace ; 1μA ; 34mA ; 25mA ; 4dBm ; -90dBm ; 11mm × 19mm ; July, 2012 ; UART,  SPI ; AIR-ZNP, based on TI Z-Stack 
 Anaren ; A2530R24C  Data sheet ; CC2530  Data sheet ; 32MHz  8-bit 8051 ; 8kB ; 256kB ; U.FL connector ; 1μA ; 34mA ; 25mA ; 4dBm ; -90dBm ; 11mm × 19mm ; July, 2012 ; UART,  SPI ; AIR-ZNP, based on TI Z-Stack 
 Anaren ; A2530E24A  Data sheet ; CC2530  Data sheet ; 32MHz  8-bit 8051 ; 8kB ; 256kB ; Printed Trace ; 1μA ; 130mA ; 28mA ; 15dBm ; -95dBm ; 11mm × 19mm ; July, 2012 ; UART,  SPI ; AIR-ZNP, based on TI Z-Stack 
 Anaren ; A2530E24C  Data sheet ; CC2530  Data sheet ; 32MHz  8-bit 8051 ; 8kB ; 256kB ; U.FL connector ; 1μA ; 106mA ; 28mA ; 13dBm ; -95dBm ; 11mm × 19mm ; July, 2012 ; UART,  SPI ; AIR-ZNP, based on TI Z-Stack 
 Atmel ; ZigBit 2.4GHz   (ATZB-24-B0)  datasheet ; AT86RF230 datasheet ; 8-bit  ATmega  1281v ; 8kB ; 128kB ; RF output ; < 6μA ; 18mA ; 19mA ; -17dBm  to  3dBm ; -101dBm ; 18.8mm × 13.5mm × 2.0mm ; 2009 ; UART,  USART,  SPI,  I²C,  JTAG ; BitCloud - ZigBee PRO,  Wireless MCU Software,  BitCloud stack,  SerialNet,  OpenMAC 
 Atmel ; ZigBit 2.4GHz  (ATZB-24-A2)  datasheet ; AT86RF230 datasheet ; 8-bit  ATmega  1281v ; 8kB ; 128kB ; balanced dual chip antenna ; < 6μA ; 18mA ; 19mA ; -17dBm  to  3dBm ; -101dBm ; 24mm × 13.5mm × 2.0mm ; 2009 ; UART,  USART,  SPI,  I²C,  JTAG ; BitCloud - ZigBee PRO,  Wireless MCU Software,  BitCloud stack,  SerialNet,  OpenMAC 
 Atmel ; ZigBit 2.4GHz Amplified  (ATZB-A24-U0)  datasheet ; AT86RF230 datasheet ; 8-bit  ATmega  1281v ; 8kB ; 128kB ; RF output ; < 6μA ; 50mA ; 23mA ; Up to  20dBm ; -104dBm ; 38mm × 13.5mm × 2.0mm ; 2009 ; UART,  USART,  SPI,  I²C,  JTAG ; BitCloud - ZigBee PRO,  Wireless MCU Software,  BitCloud stack,  SerialNet,  OpenMAC 
 Atmel ; ZigBit 2.4GHz Amplified  (ATZB-A24-UFL)  datasheet ; AT86RF230 datasheet ; 8-bit  ATmega  1281v ; 8kB ; 128kB ; U.FL connector ; < 6μA ; 50mA ; 23mA ; Up to  20dBm ; -104dBm ; 38mm × 13.5mm × 2.0mm ; 2009 ; UART,  USART,  SPI,  I²C,  JTAG ; BitCloud - ZigBee PRO,  Wireless MCU Software,  BitCloud stack,  SerialNet,  OpenMAC 
 Atmel ; ZigBit 700/800/900MHz  (ATZB-900-B0)  datasheet ; AT86RF212 datasheet ; 8-bit  ATmega  1281v ; 8kB ; 128kB ; RF output ; < 6μA ; 26mA ; 11mA ; Up to  11dBm ; –110dBm ; 24mm × 13.5mm × 2.8mm ; 2009 ; UART,  USART,  SPI,  I²C,  JTAG ; BitCloud - ZigBee PRO,  Wireless MCU Software,  BitCloud stack,  SerialNet,  OpenMAC 
 California Eastern Laboratories ; ZICM357SP2   datasheet  brochure ; EM357  datasheet  brochure ; 32 bit,  ARM Cortex  -M3 ; 12kB ; 192kB ; PCB Trace Antenna or RF Port for External Antenna ; 1μA ; 58mA ; 34mA ; 20dBm ; –103dBm ; 23.9mm × 16.6mm ; Apr, 2012 ; UART,  SPI,  TWI ; ZigBee PRO stack: EmberZNet PRO 
