 Software ; License ; Other platforms ; DRM formats supported 
 Aldiko ; Proprietary ; iOS  ; Adobe DRM 
 AlReader ; Proprietary ; None; dunno 
 Bookari ; Proprietary ; iOS ; Adobe DRM 
 Cool Reader; GPLv2 ; Android, Windows, Mac OS X, Linux, PocketBook ; dunno 
 Ebook Reader ; Proprietary ; iOS, BlackBerry 10+, Kindle Fire (side loaded) ; Adobe DRM 
 eReader Prestigio ; Proprietary ; None ; Adobe DRM 
 FBReader ;  Proprietary ; Windows, Linux, PDA, Mac OS X ; None 
 Google Play Books ; Proprietary ; Web application, iOS ; Adobe DRM 
 Kindle ; Proprietary  ; Web application, iOS, BlackBerry, Mac OS X, Windows ; Amazon DRM 
 Kobo ; Proprietary ; Windows, Mac OS X, iOS  ; Adobe DRM 
 KOReader{{Cite web|url= ; AGPLv3 ; Android, Kindle eInk, Kindle Fire, BQ Cervantes, PocketBook, Kobo ; None 
 Lektz ; Proprietary ; Web application, Mac OS X, iOS, Windows ; Lektz DRM 
 Librera;  GPL ; None ; None 
 MReader ;  Proprietary ; None  ; None 
 OverDrive Media Console ; Proprietary ; Chromebook, iOS, Mac OS X, Windows ; Adobe DRM, OverDrive 
 Snapplify ; Proprietary ; Web application, iOS ; Adobe DRM, Snapplify SnappSafe DRM 
