 Product ; Formats total # ;.cbr ;.cbz ;.umd ; .chm ; .djvu ; .epub ; .fb2 ; .html ; .mobi ; .oeb ; .rtf ; .pdf ; .txt ; .doc ; .docx ; .pdb 
 Aldiko Book Reader ; 02+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; no ; no ; no ; no ; yes ; no ; dunno ; dunno ; dunno 
 AlReader ; 09+ ; dunno ; dunno ; dunno ; no ; no ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; yes ; yes ; yes 
 Bookari ; 02+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no 
 Cool Reader ; 07+ ; dunno ; dunno ; dunno ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; yes ; no ; yes 
 EBookDroid ; 05+ ; dunno ; dunno ; dunno ; no ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; no ; dunno ; dunno ; dunno 
 Ebook Reader ; 02+ ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no 
 eReader Prestigio ; 09+ ; dunno ; dunno ; dunno ; no ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; dunno 
 ezPDF Reader ; 04+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; yes ; no ; no ; no ; yes ; yes ; dunno ; dunno ; dunno 
 FBReader  ; 11+ ; yes ; yes ; dunno ; no ; Plugin ; yes ; yes ; yes ; yes ; yes ; yes ; Plugin ; yes ; yes ; no ; yes 
 Google Play Books ; 02+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no 
 iReader ; 02+ ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; yes ; dunno ; dunno ; dunno 
 Kindle ; 02+ ; dunno ; dunno ; dunno ; no ; no ; No ; No ; no ; yes ; no ; no ; yes ; yes ; yes ; dunno ; dunno 
 KOReader ; 13 ; no ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes 
 Kobo Books ; 05+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; yes ; no ; no ; yes ; no ; yes ; dunno ; dunno ; dunno 
 Lektz eBook Reader ; 02+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; no ; no ; no ; no ; yes ; no ; dunno ; dunno ; dunno 
 Librera ; 13 ; yes ; yes ; dunno ; no ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes 
 Moon+ reader Pro ; 14 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 MReader ; 10+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 PocketBook ; 07+ ; dunno ; dunno ; dunno ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; yes 
 Snapplify ; 07+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; yes ; no ; no ; no ; yes ; yes ; dunno ; dunno ; dunno 
 Socio eReader ; 01+ ; dunno ; dunno ; dunno ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; dunno ; dunno ; dunno 
 Product ; Formats total # ;.cbr ;.cbz ;.umd ; .chm ; .djvu ; .epub ; .fb2 ; .html ; .mobi ; .oeb ; .rtf ; .pdf ; .txt ; .doc ; .docx ; .pdb 
