 Product ; Paging touch screen ; Paging volume key ; Backward-forward ; Contents table ; Bookmarks ; Resume ; Go to ; Search full text ; Sync to cloud ; Autoscroll by pixel ; Autoscroll by line  ; Autoscroll by page ; Scroll speed control ; Rolling blind mode ; Continuous scrolling 
 Aldiko Book Reader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; no ; no ; no ; no ; dunno 
 AlReader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes 
 Bookari ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; yes 
 Cool Reader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes 
 EBookDroid ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; Yes 
 Ebook Reader ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; No ; No ; No ; No ; No 
 eReader Prestigio ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; no 
 FBReader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; no 
 Google Play Books ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; no 
 iReader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; yes ; yes ; yes ; no ; dunno 
 Kindle ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; dunno ; dunno ; dunno ; dunno ; dunno ; no 
 Kobo Books ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; no ; no ; no ; no ; no 
 KOReader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; yes 
 Lektz eBook Reader ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; dunno 
 Librera ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; Yes ; yes ; no ; yes 
 Moon+ reader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 MReader ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; yes ; no ; yes 
 PocketBook ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; No ; Yes ; No ; Yes 
 Snapplify ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; dunno 
 Socio eReader ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; no ; no ; no ; no ; dunno 
 Product ; Paging touch screen ; Paging volume key ; Backward-forward ; Contents table ; Bookmarks ; Resume ; Go to ; Search full text ; Sync to cloud ; Autoscroll by pixel ; Autoscroll by line  ; Autoscroll by page ; Scroll speed control ; Rolling blind mode ; Continuous scrolling 
