 Product ; Theme ; Day-night mode ; Brightness control ; Adjust to display size ; Indent paragraph ; Trim extra blank spaces ; Enable-disable CSS ; Customize text alignment ; Customize font scale ; Customize line space ; Customize color ; Customize transparent ; Fading edge ; Simulate real page flip ; Image view with zoom/pan 
 Aldiko Book Reader ; yes ; yes ; yes ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no 
 AlReader ; dunno ; yes ; yes ; yes ; yes ; dunno ; no ; yes ; yes ; yes ; yes ; dunno ; dunno ; yes ; dunno 
 Bookari ; yes ; yes ; yes ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; dunno 
 Cool Reader ; dunno ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; yes ; dunno 
 EBookDroid ; dunno ; Yes ; dunno ; dunno ; dunno ; Yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 Ebook Reader ; No ; Yes ; Yes ; Yes ; No ; Yes ; No ; No ; Yes ; No ; Yes ; No ; No ; No ; Yes (PDF only) 
 eReader Prestigio ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 FBReader ; yes ; yes ; yes ; yes ; yes ; yes ; no enable/disable CCS » YES ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Google Play Books ; dunno ; yes ; yes ; yes ; dunno ; dunno ; dunno ; yes ; yes ; yes ; dunno ; dunno ; yes ; dunno ; dunno 
 iReader ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; yes ; yes ; yes ; yes ; dunno ; dunno ; yes ; no 
 Kindle ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 Kobo Books ; no ; yes ; yes ; yes ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; dunno 
 KOReader ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; dunno ; dunno ; dunno ; yes 
 Lektz eBook Reader ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; dunno 
 Librera ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no 
 Moon+ reader ; 10+ ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 MReader ; yes ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 OverDrive Media Console ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; yes ; yes ; yes ; dunno ; dunno ; no ; yes 
 PocketBook ; dunno ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; no ; dunno ; yes ; yes 
 Snapplify ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 Socio eReader ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; dunno 
 Product ; Theme ; Day-night mode ; Brightness control ; Adjust to display size ; Indent paragraph ; Trim extra blank spaces ; Enable-disable CSS ; Customize text alignment ; Customize font scale ; Customize line space ; Customize color ; Customize transparent ; Fading edge ; Simulate real page flip ; Image view with zoom/pan 
