 Country ; Name ; Initialisms/Acronym ; Founded ; Terminated ; Capabilities of the space agency ; Capabilities of the space agency ; Capabilities of the space agency ; Capabilities of the space agency ; Remarks 
 Country ; Name ; Initialisms/Acronym ; Founded ; Terminated ; Astronauts ; Operates Satellites ; Sounding Rockets capable ; Recoverable Biological Sounding Rockets capable ; Remarks 
 BAN ; Space Research and Remote Sensing Organization ; SPARRSO ; 1980 ; — ; No ; Yes ; No ; No ; 
 PRC ; China National Space Administration(Chinese: 国家航天局) ; CNSA ; 22 April 1993 ; — ; Yes ; Yes ; Yes ; Yes ; 
 IND ; Indian Space Research Organisation(भारतीय अंतरिक्ष अनुसंधान संगठन) ; ISROइसरो ; 15 August 1969 ; — ; Yes ; Yes ; Yes ; Yes ; 
 IDN ; Lembaga Antariksa dan Penerbangan Nasional(National Institute of Aeronautics and Space) ; LAPAN ; 27 November 1964 ; — ; Yes ; Yes ; Yes ; No ; date=March 2008 
 IRN ; Iranian Space Agency(سازمان فضایی ایران) ; ISA ; 2003 ; — ; No ; Yes ; Yes ; Yes ; date=3 February 2009 
 ISR ; Israeli Space Agency(סוכנות החלל הישראלית) ; ISAסל"ה ; April 1983 ; — ; Yes ; Yes ; Yes ; No ; date=March 2008 
 JPN ; Japan Aerospace Exploration Agency(宇宙航空研究開発機構) ; JAXA ; 1 October 2003 ; — ; Yes ; Yes ; Yes ; Yes ; 
 MYS ; Malaysian National Space Agency(Agensi Angkasa Negara) ; ANGKASA ; 2002 ; — ; Yes ; Yes ; No ; No ; 
 PRK ; Korean Committee of Space Technology(조선우주공간기술위원회) ; KCST ; 1980s ; 2013 ; No ; Yes ; Yes ; No ;fix-attempted=yes {{cite web|url= |title=Despite Clinton, Korea has rights |publisher=Workers.org |date=25 February 2009 |accessdate=13 June 2011 ;website = workers.org}}N. Korea's launch causes worries about nukes, Iran and the Pacific 
 PAK ; Pakistan Space and Upper Atmosphere Research Commission(پاکستان خلائی و بالا فضائی تحقی‍قاتی کمیشن) ; SUPARCOسپارکو ; 16 September 1961 ; — ; No ; Yes ; Yes ; No ; date=December 2019 
 PHL ; Philippine Space Agency ; PhilSA ; 8 August 2019 ; — ; No ; Yes ; No ; No ;  
 KOR ; Korea Aerospace Research Institute(한국항공우주연구원) ; KARI ; 10 October 1989 ; — ; Yes ; Yes ; Yes ; No ; date=March 2008 
 ROC ; National Space Organization(c=國家太空中心) ; NSPO ;3 October 1991 ; — ; No ; Yes ; Yes ; No ;Previously named National Space Program Organisation, until 1 April 2005 –  
 THA ; Geo-Informatics and Space Technology Development Agency(สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ) ; GISTDAสทอภ ; 3 November 2002 ; — ; No ; Yes ; No ; No ;  
