 "2",| Launch system ; "2",| Launch system ; Country of origin ; Class and type ; Payload capacity ; Payload capacity ; Payload capacity ; Maiden flight ; Manufacturer ; Status ; Ref 
 LEO (Orbit) ; GTO ; Country of origin ; Class and type ; Other ; Maiden flight ; Manufacturer ; Status ; Ref 
 Al-Abid ; Al-Abid ; IRQ ; Small lift expendable launch vehicle ; 100 to kg (300 to kg 200; n/a ; ; 1989 ; Space Research Center, Baghdad ; Abandoned ;  
 Augmented Satellite Launch Vehicle ; Augmented Satellite Launch Vehicle ; IND ; Small lift expendable launch vehicle ; 150 (kg) 400; n/a ; ; 1987 ; ISRO ; Retired ;  
 Epsilon ; Epsilon ; JPN ; Medium lift expendable launch vehicle ; 1500 (kgx250)km (500) km; ; 590 to kg (SSO) 500; 2013 ; JAXA ; In service ;  
 Feng Bao 1 ; Feng Bao 1 ; CHN ; Medium lift expendable launch vehicle ; 2500 kg; ; ; 1972 ; Shanghai Bureau No.2 ; Retired ;  
 Geosynchronous Satellite Launch Vehicle ; GSLV Mk I ; IND ; Medium lift expendable launch vehicle ;  5000 kg; 2150 kg; ; 2001 ; ISRO ; Retired ;  
 Geosynchronous Satellite Launch Vehicle ; GSLV Mk II ; IND ; Medium lift expendable launch vehicle ; 5000 kg; 2700 kg; ; 2010 ; ISRO ; In service ;  
 Geosynchronous Satellite Launch Vehicle Mark III ; Geosynchronous Satellite Launch Vehicle Mark III ; IND ; Medium lift expendable launch vehicle ; 10000 kg; 4000 kg; ; 2014 (Suborbital)2017 (Orbital) ; ISRO ; In service ;  
 GX ; GX ; JPNUS ; Medium lift expendable launch vehicle ; 3600 kg; ; 1814 to kg SSO 800; n/a ; JAXA/ULA/IHI ; Cancelled ;  
 H-I ; H-I ; JPNUS ; Medium lift expendable launch vehicle ; 3200 kg; 1100 kg; ; 1986 ; Mitsubishi Heavy Industries/McDonnell Douglas ; Retired ;  
 H-II ; H-II ; JPN ; Medium lift expendable launch vehicle ; 10060 kg; 3930 kg; ; 1994 ; Mitsubishi Heavy Industries ; Retired ;  
 H-II ; H-IIA ; JPN ; Medium lift expendable launch vehicle ; 10000 to kg 15000; 4100 to kg 6000; ; 2001 ; Mitsubishi Heavy Industries/ATK ; In service ;  
 H-II ; H-IIB ; JPN ; Medium lift expendable launch vehicle ; 16500 kg; 8000 kg; ; 2009 ; Mitsubishi Heavy Industries ; In service ;  
 H3 ; H3 ; JPN ; Medium lift expendable launch vehicle ; ; >8000 kg; >4000 to SSO (Minimum configuration) kg; 2020 (Planned) ; Mitsubishi Heavy Industries ; Under development ;  
