 BitTorrent client ; Magnet URI ; Preload Magnet metadata For a torrent added from a Magnet link, obtain the list of files (and other metadata) before prompting the user for a download location. ; Super-seeding ; Embedded tracker ; UPnP Automatically configure port forwarding (requires Router with UPnP support) ; NAT Port Mapping Protocol ; NAT traversal Many clients claim to support this, but just UPnP calls for opening a TCP port is not effective and disabled by factory default in most new hardware. "UDP NAT Traversal" is the proper working solution, supported by just a few. ; DHT DHT permits use of trackerless torrents (with supporting clients) to resume normal torrents when their tracker is down. However, some trackers that register their users for keeping tabs on fair usage (such as a ratio of bytes downloaded to uploaded) may not reliably measure and update usage for users employing DHT. ; Peer exchange ; Encryption ; UDP tracker ; LPD ; Proxy server 
 BitComet ; yes ; no ; yes ; yes2 Separate download ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; HTTP 1.1, SOCKS4-4a-5 
 BitLord ; yes ; no ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; HTTP 1.1, SOCKS4-4a-5 
 BitTorrent 5, Mainline ; no ; no ; no ; yesTracker included with Linux binaries and with source, but not with Windows binary. ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; yes 
 BitTorrent 6 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yesExchanging with BT 6 and μTorrent clients (and now MooPolice). ; yes ; yes ; yes ; HTTP(S), SOCKS4-5 
 Deluge ; yes ; partialThis is done manually. Right click an item and select "Force Re-Check". This will trigger preload. Note, if deluge is restarted before preload finishes, it will continue downloading torrent content. ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; HTTP(S), SOCKS4-5 
 FlashGet ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; yes ; no ; no ; no 
 Free Download Manager ; yes ; no ; no ; no ; no ; no ; no ; yes ; yes ; no ; no ; no ; no 
 KTorrent ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; partial ; HTTP, SOCKS4-5 
 LimeWire ; partial ; no ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; no 
 MLDonkey ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; no ; no ; yes ; no ; no 
 μTorrent ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yesμTorrent's DHT implementation date=18 March 2009  is the same as Mainline and BitComet's, but unfortunately this is incompatible with Azureus's implementation. ; yes ; yes ; yes ; yes ; HTTP(S), SOCKS4-5 
 Opera 12 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no ; no ; no 
 qBittorrent ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; HTTP(S), SOCKS4-5 
 rTorrent ; yesAided with a shell script documented in  ; no ; yes ; no ; no ; no ; no ; yes ; yes ; yes ; yes ; no ; no 
 Shareaza ; yes ; no ; no ; no ; yes ; yes ; no ; yesSince Shareaza v2.6.0.0, Shareaza includes Mainline DHT support. Also, Shareaza can use the Gnutella2 network to find other Gnutella2 clients sharing the same torrent. This also includes clients who do not actively seed the torrent in question anymore, as long as file hashes (such as sha1 for example) are known. ; yes ; no ; yesSince Shareaza v2.5.5.1 r9064. ; no ; no 
 Tixati ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; only with out going without DHT if anonymity required 
 Tonido ; no ; no ; no ; no ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no 
 Transmission ; yes ; no2Patch availableunofficial build transmission daemon cygwin unofficial build Transmission-Qt unofficial build cfpp2p GitHub transmission  ; no ; no ; yes ; yes ; no ; yes ; yesExchanges with μTorrent and Azureus peers. ; yes ; yes ; yes ; noProxy support was removed in version 2.12:  
 Tribler ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; Uses P2P onion routing to provide anonymity. 
 Vuze (formerly Azureus) ; yes ; yes ; yes ; yes ; yes ; yes ; yesSince version 2.5.0.2. It's UDP based, an experimental feature and only supported by other Azureus clients. ; yesHas its own DHT, a mainline-DHT compatible implementation is available as plugin. ; yes ; yes ; yes ; Plugin ; HTTP(S)?, SOCKS4-4a-5 
 Xunlei ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; HTTP, SOCKS5, FTP 
 BitTorrent client ; Magnet URI ; Preload Magnet metadata ; Super-seeding ; Embedded tracker ; UPnP ; NAT Port Mapping Protocol ; NAT traversal ; DHT ; Peer exchange ; Encryption ; UDP tracker ; LPD ; Proxy server 
