 BitTorrent client ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities 
 BitTorrent client ; Secunia ; Secunia ; Secunia ; Secunia ; Secunia ; SecurityFocus 
 BitTorrent client ;Extremely critical(number / oldest);Highly critical(number / oldest);Moderately critical(number / oldest);Less critical(number / oldest);Not critical(number / oldest);Total(number / oldest) 
 BitComet ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 BitLord ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  Unknown 
 BitTorrent ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 BitTorrent DNA ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 Deluge ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 FlashGet ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  1br=yes 
 Free Download Manager ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 FrostWire ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  Unknown 
 KTorrent ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 Libtorrent (Rasterbar) ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 LimeWire ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 Miro ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  1br=yes 
 MLDonkey ; Good0 ; Good0 ; Good0 ; Good0 ;  1br=yes ;  1br=yes 
 μTorrent for Mac ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 μTorrent for Windows ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 Opera 12 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 Shareaza ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 Tixati ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  Unknown 
 Transmission ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 Vuze (formerly Azureus) ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  1br=yes 
 Xunlei ; Good0 ;  2br=yes ; Good0 ; Good0 ; Good0 ;  1br=yes 
 BitTorrent client ;Extremely critical(number / oldest);Highly critical(number / oldest);Moderately critical(number / oldest);Less critical(number / oldest);Not critical(number / oldest);Total(number / oldest) 
 BitTorrent client ; Secunia ; Secunia ; Secunia ; Secunia ; Secunia ; SecurityFocus 
 BitTorrent client ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities ; Known unpatched vulnerabilities 
