 Site ; Specialization ; Is a tracker ; Directory ; Public ; RSS ; One-click download ; Sortable ; Comments ; Multi-tracker index ; Ignores DMCA ; Tor friendly  
 rh|1337x ; None ; no ; yes ; yes ; no ; no ; yes ; yes ; yes ; no ; no  
 rh| apollo.rip ; Music ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no 
 rh|Demonoid ; None ; yes ; yes ; yes ; no ; yes ; yes ; yes ;? ;? ; yes  
 rh|etree ;Live concerts ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; ? ; ?<!-- It has been down since 4 Sept 2017 
 rh| Torrent Project ; DHT search engine ; no ; yesTorrent Project Traffic Statistics at Torrentproject ; yes ; yes ; no ; yes ; yes ; yes ; no{{cite web|url=  ; no ; 636,092TorrentProject Traffic Statistics at Alexa -->  
 rh| ETTV ; None ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no 
 rh|EZTV ;TV Series ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes  
 rh| HDBits ; Movies ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no  
 rh| IPTorrents ; None ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no 
 rh| Kickass Torrent kat.cr revived as katcr.co katcr.co ; None ; no ; yes ; yes ; no ; yes ; no ; no ; no ; no ; no  
 rh| Limetorrents ; None ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no  
 rh| MkvCage  ;Movies ; no ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes ; no  
 rh|NyaaV2 ;CJK content, especially otaku and anime ; yes ; yes ; yes ; yes ; yes ; yes  ; yes ; no ; yes ; no  
 rh|The Pirate Bay ; None ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes 
 rh|Rarbg ; None ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ; no 
 rh| redacted.ch ; Music ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no 
 rh| RevolutionTT ; None ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no  
 rh|RuTracker.org ; None ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes 
 rh| Torlock ; None ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; ?  
 rh| Torrent downloads ; None ; no ; yes ; yes ; no ; no ; no ; yes ; no ; no ; no  
 rh| torrentleech.org ; None ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no 
 rh| Torrentseeker ; Search ; no ; no ; yes ; no ; no ; yes ; no ; no ; no ; no  
 rh| Torrents.me ; Search ; no ; yes ; yes ; no ; no ; yes ; yes ; no ; no ; no  
 rh| Worldwidetorrents.me ; None ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; yes ; no  
 rh|YourBittorrent ; None ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no  
 rh| YTS at Calibre Companion ; Movies ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes  
 rh| Zooqle ; Search ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no  
 Site ; Specialization ; Is a tracker ; Directory ; Public ; RSS ; One-click download ; Sortable ; Comments ; Multi-tracker index ; Ignores DMCA ; Tor friendly 
