 Arrays and Collections ;Java ;C# 
 Abstract data type ; yes ; yes 
 One-dimensional, zero-based index arrays ; yes ; yes 
 Multidimensional arrays, rectangular (single array); no ; yes 
 Multidimensional arrays, jagged (arrays of arrays); yes ; yes 
 Non-zero based arrays ; no ; some 
 Unified arrays and collections ; no ; yes 
 Maps/dictionaries ; yes ; yes 
Sorted dictionaries ; yes ; yes 
Sets ; yes ; yes 
Sorted sets ; yes ; yes 
Lists/vectors ; yes ; yes 
 Queues/stacks ; yes ; yes 
 Priority queue ; yes ; yes Alt URL 
Bags/multisets ; style=background: #8CF, ; yes 
Concurrency optimized collections ; yes ; yes 
