 Client name ; Platform ; License ; WebDAV ACL editor ; Discovery of other user’s collections ; ICalendar events ; ICalendar tasks ; ICalendar journals ; ICalendar VAVAILABILITY (RFC 7953) ; CalDAV Scheduling ; CardDAV ; vCard Synchronization ; User interface ; Online store ; .well-known URLs ; FBURL ; DNS SRV ; handles home-sets 
 rh| AgenDAVAgenDAV project home ; Cross-platform JavaScript Web browser ; GPL-lic ; yes limited ; no ; yes ; n/a ; unk ; no ; no Does not arrange meetings with participants ; n/a ; out of scope ; AgenDAV's fullcalendar.io ; no ; no The used server is fixed in the configuration file ; no Does not arrange meetings with participants ; no the caldav-server settings need to be fixed in AgenDAV's configuration file ; yes 
 rh| Cadaver ; Command-line ; GPL-lic ; unk ; unk ; yes ; unk ; unk ; unk ; unk ; yes ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| aCal ; Android ; GPL-lic ; unk ; unk ; yes ; yes ; unk ; unk ; unk ; n/a ; unk ; aCal ; aCal ; unk ; unk ; unk ; unk 
 rh| AndroidCaldavSyncAdapater ; Android ; GPL-lic ; unk ; unk ; yes ; n/a ; unk ; unk ; unk ; n/a ; out of scope ; Android ; Google Play ; unk ; no Out of scope ; unk ; unk 
 rh| CalDavZAPCalDavZAP ; Cross-platform JavaScript Web browser ; AGPL ; no ; no ; yes ; yes ; unk ; no ; no Does not arrange meetings with participants ; n/a ; out of scope ; CalDavZAP ; no ; no The used server is fixed in the configuration file ; no Does not arrange meetings with participants ; no The used server is fixed in the configuration file ; yes 
 rh| CardDavMATECardDavMATE ; Cross-platform JavaScript Web browser ; AGPL ; no ; no ; out of scope ; out of scope ; out of scope ; out of scope ; out of scope ; yes vCard 3.0 only ; no ; CardDavMATE ; no ; no The used server is fixed in the configuration file ; no Out of scope ; no The used server is fixed in the configuration file ; yes 
 rh| InfCloud (CalDavZAP+CardDavMATE)InfCloud (integrated version of CalDavZAP and CardDavMATE) ; Cross-platform JavaScript Web browser ; AGPL ; no ; no ; yes ; yes ; unk ; no ; no Does not arrange meetings with participants ; yes vCard 3.0 only ; no ; InfCloud ; no  ; no The used server is fixed in the configuration file ; no Does not arrange meetings with participants ; no The used server is fixed in the configuration file ; yes 
 rh| Chandler DesktopChandler Project date=August 30, 2007  ; Cross-platform Python ; Apache ; unk ; unk ; yes ; yes ; unk ; unk ; unk ; no ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| DAVx⁵DAVx⁵ website ; Android ; GPL-lic ; no ; no ; yes ; yes ; out of scope ; out of scope ; No (except attendees/invitations) ; yes ; no (server always wins) ; Android, OpenTasks ; Google Play, OpenTasks ; yes ; out of scope ; yes ; yes 
 rh| Tasks.orgTasks.org website ; Android ; GPL-lic ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; Android ; Google Play ; yes ; no ; no ; yes 
 rh| jqCalDAVjqCalDAV project home ; Cross-platform JavaScript Web browser ; MIT ; unk ; unk ; yes ; yes ; unk ; unk ; unk ; n/a ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| KCardDAVKCardDAV project home (discontinued) ; Cross-platform Kontact add-on ; GPL-lic ; unk ; unk ; n/a ; n/a ; n/a ; unk ; unk ; yes ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
