 Server name ; License ; Programming language ; RFC 2616 HTTP/1.1 ;RFC 2617HTTP authentication ; RFC 2518 WebDAV ;RFC 3253 Web&shy,DAV versioning ; RFC 3744 WebDAV ACL ;RFC 4324iCal Calendar Access Protocol ; RFC 4331 WebDAV quota ; RFC 4709 WebDAV mount ; RFC 4791 CalDAV ;RFC 4918 Web&shy,DAV extensions ; RFC 5397 WebDAV current principal ;RFC 5545 revised iCal (Availability Check) ;RFC 5546iCal transport-independent interoperability protocol(Group Scheduling) ;RFC 5689 Web&shy,DAV extended MKCOL ; RFC 5995 WebDAV POST add member ; RFC 6352 CardDAV vCard ;RFC 6578 Web&shy,DAV synchronise ;RFC 6638 Cal&shy,DAV scheduling(Auto-Schedule) ; RFC 7529 iCal non-Gregorian calendar ; RFC 7540 HTTP/2 ;RFC 7809 Cal&shy,DAVtimezonesby reference ; RFC 7953 iCal personal availability ; Free-busy URL 
 rh| BaïkalBaïkal iCal export ; GPL-lic ; PHP ; yes PHP_HTTP ; yes ; yes ; no ; Some ; no ; unk ; no ; yes ; yes ; yes ; yes ; unk ; yes ; unk ; yes ; unk ; unk ; unk ; yes PHP_HTTP ; unk ; unk ; unk 
 rh| BedeworkBedework overview ; Apache ; Java ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; yes ; unk ; unk  ; yes ; yes ; unk ; unk ; yes ; yes ; yes ; unk ; unk ; unk ; unk ; unk 
 rh| Calendar and Contacts Server ; Apache ; Python ; yes ; yes ; yes ; yes ; yes ; no ; unk ; no ; yes ; yes ; yes  ; yes ; yes ; yes ; unk ; yes ; yes ; yes ; unk ; unk ; unk ; unk ; unk 
 rh| CalypsoCalypso ; GPL-lic ; Python ; yes ; yes ; yes ; no ; unk ; no ; unk ; no ; yes ; yes ; no  ; yes ; yes ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| Cyrus IMAPCyrus IMAP Features ; BSD ; C ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes  ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| DAViCalDAViCal RFC ComplianceDAViCal ChangeLog ; GPL-lic ; PHP ; yes PHP_HTTP ; yes ; yes ; yes ; yes ; yes ; unk ; yes ; yes ; yes ; yes  ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; unk ; yes PHP_HTTP ; unk ; yes ; yes 
 rh| DavMailDavMail project home ; GPL-lic ; Java ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk  ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| FennelFennel on GitHub ; GNU GPLv3 ; JavaScript ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk  ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| Group-OfficeGroup-Office website ; AGPL, proprietary ; PHP ; yes PHP_HTTP ; yes ; yes ; unk ; Some ; unk ; unk ; yes ; yes ; yes ; yes ; yes ; unk ; yes ; unk ; yes ; unk ; unk ; unk ; yes PHP_HTTP ; unk ; unk ; unk 
 rh| Horde Groupware ; GNU LGPL ; PHP ; yes PHP_HTTP ; yes ; yes ; no ; Some ; no ; no ; unk ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; no ; no ; yes PHP_HTTP ; no ; no ; no 
 rh| NextcloudNextcloud home ; AGPL v3 ; PHP ; yes PHP_HTTP ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; yes ; unk ; unk  ; unk ; unk ; unk ; unk ; yes ; unk ; unk ; unk ; yes PHP_HTTP ; unk ; unk ; unk 
 rh| Open Xchange ; GPL-lic, CC ; Java, JavaScript ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; yes ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| ownCloudownCloud home ; AGPL v3 ; PHP ; yes PHP_HTTP ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; yes ; unk ; unk  ; unk ; unk ; unk ; unk ; yes ; unk ; unk ; unk ; yes PHP_HTTP ; unk ; unk ; unk 
 rh|Radicale ; GPL-lic ; Python ; yes ; yes ; Some ; no ; Some ; no ; unk ; no ; Some ; Some ; Some  ; no ; Some ; no ; unk ; Some ; unk ; no ; unk ; unk ; unk ; unk ; unk 
 rh| SabreDAVSabreDAV Supported RFC's ; BSD ; PHP ; yes PHP_HTTP ; yes ; yes ; yes ; yes ; yes ; unk ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; unk ; yes ; unk ; yes ; unk ; yes PHP_HTTP ; unk ; unk ; unk 
 rh| SOGoSOGo Overview ; GPL-lic ; Objective-C ; yes ; yes ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 rh| XandikosXandikos ; GPL-lic ; Python ; yes ; yes ; yes ; some ; some ; no ; no ; no ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; unk ; yes ; no ; no ; unk 
