 Client ; Creator ; First public release date ; Latest stable version ; Software license ; Copy files over 2GB 
 rh|ALFTP ; ESTsoft ; 2000 ; 5.31 01 ; Proprietary ; dunno 
 rh| ExpanDrive (Mac) ; ExpanDrive, Inc ; 2008 ; Latest stable software release/ExpanDrive ; Proprietary ; yes 
 rh| ExpanDrive (Windows) (formerly SFTPDrive) ; ExpanDrive, Inc ; 2005 ; Latest stable software release/ExpanDrive ; Proprietary ; yes 
 rh| ForkLift ; BinaryNights, LLC ; 2007 ; 3.4.2  26 ; Proprietary ; yes 
 rh| FTP Commander ; Internetsoft Corporation ; 1997 ; 9.21  08 ; Proprietary ; yes 
 rh| FTP Explorer ; FTPx Corp. ; October, 1996 ; 1.0.1.53, January 2012 ; Proprietary ; dunno 
 rh| Interarchy ; Nolobe Software Pty Ltd ; 1993 (as Anarchie) ; 10.0.6 18 ; Proprietary ; yes 
 rh| Steed ; French Fry, SAS ; 2012 ; 1.2.1.1169 27 ; Proprietary ; yes  
 rh| Transmit ; Panic, Inc. ; 1998 ; 5.6.4  20 ; Proprietary ; yes 
 rh| WISE-FTP ; AceBIT ; 1998 ; 7.0 (Build 7.0.4) 16 ; Proprietary ; dunno 
 rh| edtFTPj ; Bruce P. Blackshaw ; 2000 ; 2.3.0 26 ; Proprietary ; yes ; Java JAR file 
 rh| edtFTPnet ; Bruce P. Blackshaw ; 2003 ; 2.2.1 26 ; Proprietary ; yes ; Windows DLL 
