 Client ; FTP ; FTP over SSH ; SFTP ; FTPS (FTP over SSL) ; FXP (Site2site transfer) ; DAV / HTTP(S) ; Compression ; Remote Compression ; API / Commandline available ; Resume Download ; Passive mode ; Parallel Transfer{{Cite web|title=Multi-threaded and Segmented FTP · Whatbox|url= ; Segmented Downloads 
 rh|AbsoluteTelnet ; no ; no ; yes ; no ; no ; no ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh|ALFTP ; yes ; no ; no ; yes ; no ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh|Beyond Compare ; yes ; no ; yes (Pro only) ; yes (Pro only) ; no ; yes (Pro only) ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno 
 rh|Classic FTP ; yes ; no ; no ; yes ; no ; no ; no ; dunno ; dunno ; dunno ; yes ; dunno ; dunno 
 rh|Codeanywhere ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno 
 rh|Commander One ; yes ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; dunno ; dunno 
 rh|CoreFTP ; yes ; yes ; yes ; yes ; Yes ; yes ; yes ; no ; yes ; dunno ; dunno ; dunno ;Yes{{Cite web|title=Core FTP - SFTP client features|url= 
 rh|CrossFTP ; yes ; yes (Pro only) ; yes (Pro only) ; yes (Pro only) ; yes (Pro only) ; yes (Pro only) ; yes ; dunno ; yes ; yes ; yes ; dunno ; dunno 
 rh|cURL ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes (Only) ; yes ; yes ; dunno ; dunno 
 rh|CuteFTP ; yes ; yes ; yes  ; yes ; yes  ; yes (HTTP(S))  ; yes  ; no ; dunno ; yes ; yes ; dunno ;Yes 
 rh|Cyberduck ; yes ; no ; yes ; yes ; no ; yes ; no ; yes (SFTP only) ; yes ; yes ; yes ; dunno ; dunno 
 rh|Directory Opus ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; dunno ; dunno 
 rh|ExpanDrive (Mac) ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; yes ; dunno ; dunno ; dunno ; dunno 
 rh|ExpanDrive (Windows) ; yes ; no ; yes ; yes ; no ; no ; dunno ; no ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh|FAR Manager ; yes ; yes ; yes ; yes ; dunno ; yes ; no ; dunno ; dunno ; yes ; yes ; dunno ; dunno 
 rh|Fetch ; yes ; no ; yes ; yes ; yes ; no ; yes ; no ; no ; yes ; yes ; dunno ; dunno 
 rh|FileZilla ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; yes (basic) ; yes ; yes ; dunno ; dunno 
