 Editor ; Version ; Year ; Creator ; Software license 
 rh2| Amaya ; 11.4.4 (January 18) ; 2012 ; W3C, INRIA ;  W3C 
 rh| Aptana Studio ; 3.6.0 (August 1) ; 2014 ; Aptana ; GPL 
 rh| Arachnophilia ; 5.5, build 2935 (March 9) ; 2018 ; Paul Lutus  ; LGPL 
 rh| Atom ; 1.46.0 (May 5) ; 2020 ; GitHub ; MIT License 
 rh| Bluefish ; 2.2.11 (January 24) ; 2020 ; Bluefish ;  GPL 
 rh| BlueGriffon ; 3.1 (October 14) ; 2019 ; Disruptive Innovations ;  MPL 1.1/GPL 2.0/LGPL 2.1 
 rh| Brackets ; 1.13 (June 18) ; 2018 ; Adobe ; MIT License 
 rh2| Claris Homepage ; 3.0  ; 1998 ; Claris ; proprietary 
 rh| Coda ; 2  ; 2012 ; Panic, Inc. ; proprietary 
 rh| Codelobster ; 5.10.1 (August 22)  ; 2016 ; Codelobster Software ; proprietary 
 rh| CoffeeCup HTML Editor ; 15.1 (July 10) ; 2015 ; CoffeeCup Software ; proprietary 
 rh| CudaText ; 1.57.0 (June 25) ; 2018 ; UVViewSoft (alexey_t, kvichans, matthias030) ; MPL 2.0 
 rh| Contribute ; CS6.5 (8)(August 23) ; 2012 ; Adobe Systems (formerly Macromedia) ; proprietary 
 rh| Dreamweaver ; CC 2020 (20.1) (February) ; 2020 ; Adobe Systems (formerly Macromedia) ; proprietary 
 rh| EZGenerator ; 4.1 (December) ; 2012 ; Image-Line  ; proprietary 
 rh| Freeway ; 7.1.3 (May 5) ; 2016 ; Softpress  ; proprietary 
 rh2| GoLive  ; 9.0 (June 1) ; 2007 ; Adobe Systems (formerly GoLive Systems)	  ; proprietary 
 rh| Google Web Designer ; (July) ; 2018 ; Google, Inc. ; proprietary 
 rh| HTML-Kit ; 292 ; ; Chami.com ; proprietary 
 rh2| KompoZer ; 0.7.10/0.8b3 (August 30, 2007/ March 1, 2010) ; 2010 ; Kaze ; MPL 1.1/GPL 2.0/LGPL 2.1  
 rh| LibreOffice ; 6.1.2 (September 27) ; 2018 ; The Document Foundation ; Mozilla Public License/Apache License 2.0/others  
 rh| Maqetta ; Preview 5 (March 28) ; 2013 ; IBM ;  BSD or AFL 
 rh2| Microsoft Expression Web ; 4.0.1460.0 (December 20) ; 2012 ; Microsoft ; proprietary 
 rh2| Microsoft Office FrontPage ; 11.0.8174 (October 21) ; 2003 ; Microsoft ; proprietary 
 rh2| Microsoft FrontPage Express ; 2.0 ; 1997 ; Microsoft ; proprietary 
 rh2| Web Architect ; 6.9.1 (July 25) ; 2012 ; mirabyte ; proprietary 
 rh2| Microsoft SharePoint Designer ; 2007 (December 4) ; 2006 ; Microsoft ; proprietary 
 rh| Microsoft Visual Studio Code ; 1.28.1 (October 11) ; 2018 ; Microsoft ; MIT License 
 rh| Microsoft Visual Web Developer ;  ; 2008 ; Microsoft ; proprietary 
 rh| Mobirise ; 4.8 ; 2018 ; Mobirise.com ; proprietary 
 rh2| Mozilla Composer ; 1.7.13 (April 21) ; 2006 ; Mozilla Foundation ; MPL 1.1/GPL 2.0/LGPL 2.1  
 rh2| Nvu ; 1.0 (June 28) ; 2005 ; Linspire / Daniel Glazman ; MPL 1.1/GPL 2.0/LGPL 2.1  
 rh| openElement ; 1.44 (January 21) ; 2014 ; openElement ; Apache License 2.0 
! rh| OpenOffice.org ; 4.1.5 (October 19) ; 2017 ;Apache Foundation ; Mozilla Public License/Apache License 2.0/others  
 rh| oXygenXML EditorThough the focus of this software is clearly XML, it covers so much of the HTML and XHTML features (all of them, basically) as well as generating HTML and XHTML based documents and sites (e.g. WebHelp, ePub, etc.) that leaving it out just appears a bit weird. ; 17.1 (October) ; 2015 ; Syncro Soft ; proprietary (some components Apache License 2.0) 
 rh2| Quanta Plus ; 3.5.9 (February 20) ; 2008 ; The Quanta Team ; GPL  
 rh| RocketCake ; 1.4 ; 2017 ; Ambiera ; proprietary 
 rh| SeaMonkey Composer ; 2.53.1 (February 28) ; 2020 ; SeaMonkey Council ; MPL  
 rh| TextMate ; 2.0 Preview (August 12) ; 2012 ; Macromates ;  GPL 
 rh| TOWeb ; 5.07 (July 28) ; 2013 ; Lauyan Software ; proprietary 
 rh| WebStorm IDE ; 7.0 (September 26) ; 2013 ; JetBrains ; proprietary  
 Editor ; Version ; Year ; Creator ; Software license 
