 Editor ; CSS2 ; Frames ; Java ; JavaScript ; XSLT ; XHTML ; MathML ; XForms ; RSS ; Atom ; XPath 
 rh2| Amayanot Unicode-savvy ; partial ; no ; no ; no ; no ; yes ; yes ; no ; no ; no ; dunno 
 rh| Aptana ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; no ; no 
 rh| Arachnophilia ; yes ; yes ; dunno ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Bluefish ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 rh| BlueGriffon ; yes(via commercial proprietary add-on) BlueGriffon's commercial proprietary CSS editor add-on ; dunno ; dunno ; dunno ; dunno ; yes ; yes(via commercial proprietary add-on) BlueGriffon's commercial proprietary MathML add-on ; dunno ; dunno ; dunno ; dunno 
 rh| Brackets ; yes ; yes ; yes ; yes ; dunno ; yes ; dunno ; dunno ; yes ; yes ; dunno 
 rh2| Claris Homepage ; partial ; yes ; no ; yes ; no ; no ; no ; no ; no ; no ; no 
 rh| Codelobster ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; no ; no ; no 
 rh| CoffeeCup HTML Editor ; yes ; yes ; no ; yes ; no ; yes ; no ; no ; yes ; yes ; no 
 rh| Dreamweaver ; yes ; yes ; yes ; yes ; yes ; yes ; partial ; yes ; yes ; dunno ; yes 
 rh| Freeway ; yes ; yes ; partial ; yes ; yes ; yes ; no ; no ; yes ; no ; no 
 rh2| GoLive ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; no ; no 
 rh| HTML-Kit ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no 
 rh2| KompoZer ; yes ; no ; yes ; yes ; no ; yes ; no ; no ; no ; no ; no 
 rh| LibreOffice ; yes ; yes ; yes (optional) ; yes (and Python) ; yes (that's how export works) ; yes ; yes ; dunno ; dunno ; dunno ; dunno 
 rh| Maqetta ; yes ; ? ; no ; yes ; ? ; ? ; ? ; ? ; ? ; ? ; ? 
 rh2| Microsoft Expression Web ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes 
 rh2| Microsoft FrontPage ; partial ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no 
 rh2| Microsoft SharePoint Designer ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes 
 rh| Microsoft Visual Web Developer ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes 
 rh2| Nvu ; yes ; no ; no ; yes ; no ; yes ; no ; no ; no ; no ; no 
 rh| openElement ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; yes ; no ; no 
 rh| OpenOffice.org ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno 
 rh| oXygenXML Editor ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh2| Quanta Plus ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; dunno ; yes 
 rh| RocketCake ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno ; no ; no ; no ; dunno 
 rh| SeaMonkey Composer ; yes ; yes ; no ; yes ; no ; yes ; yes (rendering, but no tools) ; no ; no ; no ; dunno 
 rh| TOWeb ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes ; no ; no 
 rh| Web Architect ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; yes ; dunno 
 rh| WebStorm IDE ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; dunno ; dunno ; yes 
 Editor ; CSS2 ; Frames ; Java ; JavaScript ; XSLT ; XHTML ; MathML ; XForms ; RSS ; Atom ; XPath 
