 Flag ; Country ; IOC ; FIFA ; ISO 
British Honduras;British Honduras;HBR1972;BHO; 
1974;Burma;BIR1988;BUR1989;BUR1989 
Ceylon;Ceylon;CEY1972;CEY1972; 
Dahomey;Dahomey;DAH1972;DAH1975;DHY1977 
CSK;Czechoslovakia;TCH1992;TCH1993;CSK1993 
DDR;East Germany;GDR1988;DDR1989;DDR1989 
1970;Khmer Republic;KHM1976;?1975; 
Malaya;Malaya;MAL1960;?1963; 
ANT;Netherlands Antilles;AHO2011;ANT2011;ANT2010 
North Borneo;North Borneo;NBO1956;NBO1963; 
North Yemen;North Yemen;YAR1988;NYE1990;YEM1990 
NRH;Northern Rhodesia;NRH1964;NRH1964; 
Rhodesia;Rhodesia;RHO1972;RHO1980;RHO1980 
SCG;Serbia and Montenegro;SCG2006;SCG2006;SCG2006 
South Yemen;South Yemen;YMD1988;SYE1990;YMD1990 
SUN;Soviet Union;URS1988;URS1991;SUN1992 
Upper Volta;Upper Volta;VOL1984;UPV1984;HVO1984 
North Vietnam;Viet-Nam, Democratic Republic of;||VNO1975||VDR1977 
South Vietnam;Viet Nam, Republic of;VNM1976;VSO1975;VNM1977 
GER;West Germany;FRG1988;FRG1989;DEU1989 
FR Yugoslavia;Yugoslavia, Federal Republic of;YUG2002;YUG2003;YUG2003 
YUG;Yugoslavia, Socialist Federal Republic of;YUG1992;YUG1992;YUG1992 
ZAI;Zaire;ZAI1996;ZAI1997;ZAR1997 
