 Client ; Primary developers ; Distribution model ; Software license ; User interface ; Programming language 
 rh| AdiIRC ; Per Amundsen ;Freeware ; proprietary ; GUI ; .NET Framework/C# 
 rh| Adium ; Thijs Alkemade ; Free software ; GPL ; GUI ; Objective-C and C 
 rh| AmbassadorAmbassadorAmbassador release statement ; Isengrim ; Free software ; MPL ; GUIstandaloneandbrowser ; JavaScript, XUL 
 rh| AndroIRC ; Madalynn ;Freeware ; proprietary ; GUI ; ? 
 rh| BersircBersircBersirc IRC Client - about Bersirc  ; Jamie Frater, Nicholas Copeland ; Free software ; LGPL ; GUI ;C (Delphi originally) 
 rh| BitchXBitchX ; Colten Edwards ; Free software ; BSD ; TUI, GUI ; C 
 rh| ChatZillaChatZilla ; James Ross, Robert Ginda, Samuel Sieb, Gijs Kruitbosch ; Free software ; MPL, GPL, LGPLtri-license ; GUIwebbrowser ; JavaScript, XUL 
 rh| ColloquyColloquy ; Timothy Hatcher, Kiji Roshi ; Desktop: Free software,mobile: commercial ; BSD: mobile,GPL: desktop ; GUI ; Objective-C 
 rh| ERCERC ; Alexander L. Belikoff, Sergey Berezin ; Free software ; GPL ; TUI, GUI ; Emacs Lisp 
 rh| F-IRC ; Folkert van Heusden ; Free software ; GPL ; TUI ; C++ 
 rh| GrumpyChatGitHub project. ; Petr Bena ; Free software ; LGPL ; GUI ;C++ 
 rh| HexChat ; Berke Viktor ; Free software ; GPL ; TUI, GUI ;C 
 rh| IceChat ; Paul Vanderzee ; Free software ; GPL ; GUI ; C# (Visual Basic until 2004)IceChat History. IceChat.net 
 rh| Igloo ; Jordan Koch ; Commercial ; proprietary ; GUI ; Swift 
 rh| Instantbird ; Florian Quèze ; Free software ; GPL ; GUI ; C/C++, JavaScript, CSS, XUL 
 rh| IRCCloudIRCCloud ; IRCCloud Ltd. ;Freemium ; proprietary ; Web ; JavaScript frontend, Erlang backend 
 rh| ircIIircII ; Michael Sandrof ; Free software ; BSD ; TUI ;C 
 rh| IrcleIrcle ; Onno Tijdgat ; Commercial, 30-day trial ; proprietary ; GUI ;C 
 rh| IrssiIrssi ; Timo Sirainen ; Free software ; GPL ; TUI ;C 
 rh| Kiwi IRCKiwiIRC ; Darren Whitlen ; Free software ; AGPL ; Web ;JavaScript frontend, Node.js backend 
 rh| kirckirc ; Michael Czigler ; Free software ; GPL ; TUI ;C 
 rh| KVIrcKVIrc ; Szymon Stefanek ; Free software ; GPL ; GUI ;C++ 
 rh| KonversationKonversation ; KDE ; Free software ; GPL ; GUI ;C++ 
 rh| LeafChatLeafChat ; Samuel Marshall ; Free software ; GPL ; GUI ;Java 
 rh| LimeChatLimeChat isbn=978-1-4302-2363-4"LimeChat: IRC Client for Mac" date=2014-11-25 . Official site. ; Satoshi Nakagawa ; Free software ; GPL"Limechat". GitHub. ; GUI ; RubyCocoa (2007–2010)Objective-C (2010–)“do not load RubyCocoa” Commit on GitHub. 
 rh| LinkinusLinkinus  ; Conceited Software ; Commercial, 15-day trial ; proprietary ; GUI ;Objective-C 
 rh| MibbitMibbit ; Jimmy Moore ; Textual Adbar ; proprietary ; Web ;JavaScript frontend,Java backend 
 rh| mIRCmIRC ; Khaled Mardam-Bey ; Shareware, 30-day trial {{cite web ; url        =  ; title      = mIRC: Register mIRC ;accessdate=2009-07-14 }} ; proprietary ; GUI ;C/C++ 
 rh| Monochrome ;Peter Pawlowski ;Freeware ;GPLv2 ;GUI ;C# 
 rh| Nettalk ; Nicolas Kruse ;Freeware ; Apache 2.0 ; GUI ; Visual Basic 
 rh| Opera (until version 12.xx) Operaopera ; ;Freeware ; proprietary ; GUIbrowsercomp ;C++ 
 rh| Pidgin ; ; Free software ; GPL ; GUI ;C 
 rh| PIRCHPIRCH ; ;Shareware ; proprietary ; GUI ;Delphi 
 rh| PJIRCPJIRC ; Philippe Detournay ; Free software ; GPL ; GUI ;Java 
 rh| QuasselQuassel ; Manuel Nickschas, Marcus Eggenberger, Alexander von Renteln ; Free software ; GPL ; TUIncomp, GUIcldaemon ;C++ 
 rh| qwebircqwebirc ; Chris Porter ; Free software  ; GPL ; Web ;JavaScript front end,Python backend 
 rh| rcircrcirc ; Ryan Yeske ; Free software ; GPL ; TUI ; Emacs Lisp 
 rh| SmuxiSmuxi ; Mirco Bauer ; Free software ; GPL ; GUI, TUI, servercldaemon ;C# 
 rh| SnakSnak ; Kent Sorensen ; Commercial ; proprietary ; GUI ; dunno 
 rh| ThunderbirdThunderbird ; Mozilla Foundation ; Free software ; MPL 2.0 ; GUI ; C, C++, JavaScript 
 rh| Visual IRCVisual IRC ; Jesse McGrew ; Free software ; GPL ; GUI ;Delphi 
 rh| WeeChatWeeChat ; Sebastien Helleu ; Free software ; GPL ; TUI, GUIdev ;C 
 Client ; Primary developers ; Distribution model ; Software license ; User interface ; Programming language 
