 ; First public release ; First public release ; First stable release ; First stable release ; Latest stable release 
 Client ; Date ; Version ; Date ; Version ; Latest stable release 
 rh| AdiIRC ; 2005 ; 1.0 ; ; ; Latest stable software release/AdiIRC 
 rh| Bersirc ; 1999 ; ; ; ; Latest stable software release/Bersirc 
 rh| BitchX ; 1996 ; ; ; ; Latest stable software release/BitchX 
 rh| ChatZilla ; 2001 ; ; ; ; Latest stable software release/ChatZilla 
 rh| Colloquy ; 2005 ; ; ; ; Latest stable software release/Colloquy 
 rh| degesch ; 2015	 ; 0.9 ; 2015 ; 0.9 ; 
 rh| DMDirc	 ; 2007	 ;	 ;	 ;	 ; Latest stable software release/DMDirc 
 rh| ERC	 ; 1999? ;  ;	 ;	 ; Latest stable software release/ERC 
 rh| F-IRC ;2006? ;0.1 ; ; ;1.36 (February 23, 2014) 
 rh| HexChat ; 2009-10-04 ; r249 ; 2009-10-09 ; 2.86.0 ; Latest stable software release/HexChat 
 rh| HydraIRC ; 2002 ;   ;  ;  ; Latest stable software release/HydraIRC  
 rh| IceChat ; 2002 ; 3.0 ; 2002-04-08 ; 3.0 ; Latest stable software release/IceChat 
 rh| ircII ; 1990 ; ; ; ; Latest stable software release/ircII 
 rh| IRCjr ; 2008 ; ; 2008 ; ; Latest stable software release/IRCjr 
 rh| Ircle ; 1995 ; ; ; ; Latest stable software release/Ircle 
 rh| Irssi ; 1999 ; ; ; ; Latest stable software release/Irssi 
 rh| jIRCii ; ? ; ? ; ; ; ? 
 rh| kirc ; 2020 ; 0.0.1 ;  ;  ; Latest stable software release/kirc 
 rh| KVIrc ; 1998 ; 0.6.0 ; 1999-12-21 ; 1.0.0 ; Latest stable software release/KVIrc 
 rh| Konversation ; 2002 ; ; ; ; Latest stable software release/Konversation 
 rh| LeafChat ; ? ;1.0 ; ; ; Latest stable software release/LeafChat 
 rh| LimeChat ; 2007 ; ; ; ; Latest stable software release/LimeChat 
 rh| Linkinus ; 2007 ; ; ; ; Latest stable software release/Linkinus 
 rh| Mibbit ; 2008 ; ; ; ; web application, no version 
 rh| mIRC ; 1995 ; ; ; ; Latest stable software release/mIRC 
 rh| Nettalk ; 2004 ; ; ; ; Latest stable software release/Nettalk 
 rh| Opera ; 1996 ; ; ; ; Latest stable software release/Opera 
 rh| PIRCH ; 1995 ; ; ; ; Latest stable software release/PIRCH 
 rh| PJIRC ; 2002 ; ; ; ; Latest stable software release/PJIRC 
 rh| Quassel ; 2008-08-27 ; 0.3.0 ; ; ; Latest stable software release/Quassel IRC 
 rh| qwebirc ; 2009 ; 0.81 ; ; ; Latest stable software release/qwebirc 
 rh| rIRC ; 2010 ; Preview Release 1 ; 2012 ; 1.44 ; 1.4.4 (January 16, 2012) 
 rh| Scrollback ; 2013 ;  ; 2013 ;  ;  
 rh| rcirc ; ? ; ? ; ; ; Latest stable software release/rcirc 
 rh| Smuxi ; 2008-07-29 ; 0.6 ; 2010-09-03 ; 0.8 ; Latest stable software release/Smuxi 
 rh| Snak ; 1997 ; ; ; ; Latest stable software release/Snak 
 rh| Visual IRC ; 1995 ; ; ; ; Latest stable software release/Visual IRC 
 rh| WeeChat ; 2003 ; ; ; ; Latest stable software release/WeeChat 
 Client ; Date ; Version ; Date ; Version ; Latest stable release 
 Client ; First public release ; First public release ; First stable release ; First stable release ; Latest stable release 
