 Client ; CHAT ; Whiteboard ; SEND ; RESUME ; TSEND ; SEND T ; XMIT ; Passive DCC ; Server ; RDCC ; REVERSE ; RSEND ; Reverse / Firewall DCC ; File servers (FSERVs) ; XDCC ; VOICE 
 rh| Bersirc ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| BitchX ; yes ; no ; yes ; yes ; yes ; yes ; dunno ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; dunno 
 rh| ChatZilla ; yes ; no ; yes ; no {{cite web ; url        =  ; title      = Mozilla ChatZilla: Bugzilla Bug 285630: chatzilla does not support resume for dcc downloads ; date       = 2009-02-20 ; accessdate = 2009-07-14 }} ; dunno ; dunno ; no ; noplanned ; no ; no ; no ; no ; no ; no ; dunno ; dunno 
 rh| Colloquy ; yes ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; yes ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; dunno 
 rh| degesch ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| DMDirc ; yes ; no ; yes ; yes ; dunno ; dunno ; no ; yes ; no ; no ; no ; no ; yes ; no ; no ; dunno 
 rh| ERC ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| HexChat ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; dunno 
 rh| HydraIRC ; yes ; no ; yes ; yes ; dunno ; dunno ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no ; no ; dunno 
 rh| IceChat ; yes ; no ; yes ; dunno ; dunno ; dunno ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no ; no ; dunno 
 rh| IRCCloud ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| ircII ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| IRCjr ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
 rh| Ircle ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Irssi ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| KiwiIRC ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
 rh| Konversation ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; yes ; no ; dunno ; dunno ; dunno ; yes ; dunno ; yes ; dunno 
 rh| KVIrc ; yes ; no ; yes ; yes ; yes ; no ; no ; yes ; no ; no ; yes ; yes ; yes ; yesSupported_Via_Scripting ; yesSupported_Via_Scripting ; yesgroup=Note 
 rh| LimeChat ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Linkinus ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Mibbit ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| mIRC ; yes ; dunno ; yes ; yesgroup=Note ; dunno ; dunno ; dunno ; yes ; yes ; yesgroup=Note ; dunno ; dunno ; yes ; yes ; yesscript ; dunno 
 rh| Nettalk ; yes ; no ; yes ; yes ; no ; no ; no ; no ; partial ; no ; no ; no ; no ; dunno ; dunno ; dunno 
 rh| Opera ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| PIRCH ; yes ; no ; yes ; yesdcc ; dunno ; dunno ; no ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
 rh| PJIRC ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Quassel ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
 rh| qwebirc ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
 rh| rcirc ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; dunno 
 rh| Smuxi ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Snak ; yes ; dunno ; yes ; yes ; dunno ; yes ; dunno ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Visual IRC ; dunno ; yes ; dunno ; yesdcc ; dunno ; dunno ; dunno ; yes ; no ; dunno ; dunno ; dunno ; yes ; dunno ; dunno ; yesvoice 
 rh| WeeChat ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; No ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; dunno 
