 ;Flat ;Threaded ;User selectable themes ;Unread message tracking ;WYSIWYG Editor ;Export, portability ;Email / NNTP interface ;Languages ;SSO 
 bbPress ; yes ;  ;  ;  ;  ; no{{cite web|url= ; Plugin ; yes ; 
 Beehive Forum ; yes ; yes ; partial ; Full ; yes (using TinyMCE) ; partial ; ;  ; 
 Discourse ; yes ; no ; yes ; Full ; Real-time side-by-side preview ; Full ; partial ; yes ; OAuth2, Custom 
 Discuz! ;  ;  ; yes{{cite web|url= ;  ;  ; ; ;  
 FluxBB ; yes ; no ; partial ; Session ; no ; ; ; yes ; 
 FUDforum ; yes ; yes ; yes ; Full ; yes ; partialFor admins:  ; yesNative NNTP gateway:  ; yes 
 Invision Power Board ; yes ;  ; yes ; Full ; yes ; ; noOnly 3 languages updated in one year.  date=2016-04-24  ; ; no 
 MyBB ; yes ; yes ; yes ; Full ; yes ; no ; no ; yes ; 
 Phorum ; yes ; yes ; yes ; Full ; yes ; Plugin ; ; no ;  
 phpBB ; yes ; no ; yes ; Full ; no ; no ; no ; yes ; yes (LDAP, OAuth) 
 PunBB ; yes ;  ; yes ; Session ;  ; ; ; no ; 
 Simple Machines Forum ; yes ; no ; yes ; Full ; yes ; partial PM:  ; no ; yes ;  
 Thredded ; yes ; no ; yes ; Full ; no ; no ; Read-only ; yes ; Custom 
 Vanilla Forums ; yes ;  ; yes ; yes ; Plugin ; Plugin Attachments: Admin-only:  ; ; yes 2 languages 100 % translated. ; yes 
 vBulletin ; yes ; no ; yes ; Full ; yes ; PluginvB 4:  ;  ; no ; 
 XenForo ; yes ; yes ; yes ; Full ; yes ; yes ; ; yes Available translations for latest version. ; yes OAuth SSO provided by Connected accounts feature. 
