 Library Name ; License ; Free ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Supported Bar Chart Types ; Other Features ; Interactivity ; Interactivity ; Rendering Technologies ; Rendering Technologies ; Rendering Technologies ; Databinding ; HTML 5 Canvas  
 Library Name ; License ; Free ; Line ; Timeline ; Scatter ; Area ; Pie ; Donut ; Bullet ; Radar ; Funnel ; Gantt ; Network ; Grouped ; Mind Mapping ; Stacked ; Negative ; Discrete ; Horizontal ; 3D ; Legends ; Mouse Over ; onClick ; HTML5 Canvas ; SVG ; VML ; AxisXY ; WebGL rendering  
 amCharts ; proprietary ; Free with a link  or commercial ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; yes	 ; yes ; no ; yesaccessdate=April 10, 2014 ; yes ;  ;  
 AnyChart ; proprietary ; Free for education and non-profit use. Paid for commercial applications. ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ;  
 ApexCharts ; MIT ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; no ; yes ; no ; ;  
 billboard.js ; MIT ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; no ; yes ; no ; yes ;  
 C3.js ; MIT ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; no ; yes ; no ; yes ;  
 CanvasJS ; proprietary ; Free for Personal, Educational and Non-Commercial Uses ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; no ; no ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; yesaccessdate=April 10, 2014 ; no ; no ; yes ;  
 canvasXpress ;  GPLv3, name/email required for source link ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; no ; no ; no ; yes ; yes ; ; yes ; no ; no ; yes ;  ; yes ; yes ; yes ; yesurl-status=dead  ; no ; yesurl-status=dead  ;  ;  
 Chartist ; {{free|WTFPL{{cite web|url= or MIT ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no ; no ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ;  ; no ; yes ; yes ; no ; yes ; no ;  ;  
 Chart.js ; MIT ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; yes ; ; yes ; yes ; yes ; yes ;  ; yes ; yes ; yes ; yes ; no ; no ; no ;  
