 Framework ; Version compared ; Size ; License ; Source language 
rh|Angular ; 718 Oct 2018 ; 563 kB (minified & compressed) ; MIT ; TypeScript 
rh|AngularJS ; 1.5.05 Feb 2016 ; 144 kB (minified & compressed) ; MIT ; JavaScript 
rh|Apache Royale ; 0.9.45 Nov 2018 ; 19 kB (zipped) ; Apache ; ActionScript 3, MXML, CSS 
rh|Backbone.js  ; 1.2.1June 2015 ; 7.3 kB (Packed and gzipped) ; MIT ; JavaScript 
rh|Dojo ; 1.10.418 Jan 2015 ; Variable. Base size: 41 kB (minified & gzipped), 155 kB (minified), 598 kB (uncompressed)Dojo Base  ; BSD & AFL ;JavaScript + HTML 
rh|Ember.js ; 1.7.019 Aug 2014 ; 95 kB (minified & gzipped), 340 kB (minified), 1.5 MB (uncompressed) ; MIT ; JavaScript 
rh|Enyo ; 2.0.130 Aug 2012 ; <25 kB (core gzipped) ;  Apache 2  ; JavaScript 
rh|Express.js ; ; ; MIT ; NodeJS 
rh|Ext JS ; 4.213 Mar 2013 ; 84–502 kB ; GPL & Commercial  ; JavaScript 
rh|Google Web Toolkit ; 2.7.0November 2014 ; Variable ; Apache ; Java 
rh|jQuery (library) ; 3.4.010 Apr 2019 ; 30,1 KiB (minified & gzipped), 86 KiB (minified),283 KiB  (uncompressed) ; MIT ; JavaScript 
rh|jQWidgets ; 3.9.129 Oct 2015 ; 3102 KB (minified), 7486 KB (uncompressed) ; Creative Commons Attribution-NonCommercial 3.0 and Commercial ; JavaScript, HTML, CSS 
rh|Knockout ; 3.5.022 February 2019 ; 66.4 KB minified / 309 KB (development mode) ; MIT  ; JavaScript 
rh|MooTools ; 1.6.014 Jan 2016 ; Variable, (YUI Compressor) 101 KiB,  (uncompressed) ; MIT ; JavaScript 
rh|Node.js ; ; ; MIT ; JavaScript 
rh|React (JavaScript library) ; 16.1.1November 28, 2017 ;react.production.min.js                     6.41KB react-dom.production.min.js            92.4KB  Total: 98.81KB ; MIT ; JavaScript 
rh|SAP OpenUI5 ; 1.44.928 Mar 2017 ; 20.8MB (1.34.7 runtime, minified, zipped)6.8MB(1.34.7 runtime mobile, minified, zipped)52.1MB (1.34.7 SDK, zipped) ; Apache 2 OpenUI5 on GitHub ; JavaScript 
rh|Prototype & script. aculo.usscript.aculo.us is an add-on to Prototype. ; Prototype: 1.7.322 Sep 2015 script.aculo.us: 1.9.023 Dec 2010 ; 46–278 kB ; MIT ; JavaScript 
rh|qooxdoo ; 5.0.115 Sep 2015 ; Variable, starting at 6 kB (gzipped) ; LGPL & EPL ; JavaScript 
rh|SproutCore ; 1.11.2 2 May 2016 ; 250–700 kb (gzipped). ; MIT ; JavaScript 
rh|Svelte ; 3.12.1 14 Oct 2019 ; Variable ; MIT ; JavaScript 
rh|Vue.js  ; 2.6.1020 Mar 2019  ; 33.5 KB (minified & gzipped) 91.48 KB (minified)   333.46 KB (uncompressed)  ; MIT ; JavaScript 
rh|Wakanda ; 914 Nov 2014 ; Variable ; GPL3 (framework), AGPL (server) & Commercial ; JavaScript + HTML + CSS 
rh|Webix ; 4.1November 2016 ; 188 kB (gzipped) ; GPL & Commercial ; JavaScript 
rh|ZK ; 8.0.1 19 Jan 2016 ; Variable ; LGPL & GPL & ZOL ; XML + Java (JavaScript optional) 
