 ;AngularJS ;Apache Royale ;Dojo ;Ember.js ;Enyo ;Ext JS ;Google Web Toolkit ;jQuery ;jQWidgets ;MooTools ;OpenUI5 ;Prototype & script. aculo.us ;qooxdoo ;SproutCore ;Svelte ;Vue ;Wakanda ;ZK ;Webix 
rh| Feature detectionFeature detection is preferred by many to browser sniffing to support future browsers: Browser Detecting (and what to do Instead), Feature Detection: State of the Art Browser Scripting, Browser Feature Detection ; yes ; ; yes ; yes ; ; yes ; no ; yes ; yes ; yes ; ; noFeature detection all the way  ; yes ; yes ; ; ; Partial ; no ; yes 
rh| DOM wrapped ; yes ; ; yes ; no ; yes ; yes ; yes ; yes ; ; no ; ; no ; yes ; no ; ; ; yes ; yes ; yes 
rh| XMLHttpRequestdata retrieval ; yes ; yes ; yesAJAX and Dojo  ; ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; ; ; yes ; ; yes 
rh| WebSocket ; ; ; yes ; ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ;  Via Plugin ; ; ; yes ; ; yes 
rh| Server push data retrieval ; ; ; yes ; ; ; yes{{cite web|url= ; yes ; yes ; no ; ; ; ; ; Via Plugin ; ; ; ; yes ; yes 
rh| Other data retrieval ; ;  Yes: XML, HTML, CSV, ATOM, AMF, JSON ;  Yes: XML, HTML, CSV, ATOM ; ; ;  Yes: XML, SOAP, AMF, Ext.Direct ;  Yes: RPC, RequestFactory ;  Yes: XML, HTML ;  Yes: XML, JSON, CSV, TSV ;  Yes: XML, HTML ; ; ; ; ; ; ;  Yes: JSON-RPC, Wakanda REST ; ;  Yes:  XML, HTML, CS, JSON, JSArray, CSV 
rh| Drag and drop ; ; yes ; yes ; ; ; yes ;  With plugin{{cite web|url= ; With plugins ; yes ; yes ; yes ; yes ; yes ; yes ; ; ; yes ; yes ; yes 
rh| Simple visual effects ; yes ; yes ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes{{cite web|url= ; ; ; yes ; yes ; yes 
rh| Animation /  advanced visual effects ; yes ; ; yes ; ; yes ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ; ; ; yes ; yes ; yes 
rh| Back button support /  history management ; ; ; yes ; yes ; yes ; yes ; yes ; With plugins{{cite web|url= ; no ; With plugin{{cite web|url= ; ; yes ; yes ; yes ; ; ; ; yes ; yes 
rh| Input form widgets & validation ; yes ; yes ; yes ; ; yes ; yes ; yes, Validation requires plugin ; With plugins ; yes ; yes ; yes ; yes ; yes ; yes ; ; ; yes ; yes ; yes  
 ;AngularJS ;Apache Royale ;Dojo ;Ember.js ;Enyo ;ExtJS ;Google Web Toolkit ;jQuery ;jQWidgets ;MooTools ;OpenUI5 ;Prototype & script. aculo.us ;qooxdoo ;SproutCore ;Svelte ;Vue ;Wakanda ;ZK ;Webix 
rh| Grid ; ; yes ; yes ; ; ; yes ; yes ; With plugins ; yes ; With plugin or  or  ; yes ; ; yes ; yes ; ; ; yes ; yes ; yes 
rh| Hierarchical Tree ; ; yes ; yes ; ; yes ; yes ; yes ; With plugins,  ; yes ; With plugins{{cite web|url= ; yes ; ; yes ; yes ; ; ; yes (Auto Form) ; yes ; yes  
rh| Rich text editor ; no ; yes ; yes ; ; ; yes ; yes ; With pluginsmarkitup, jwysiwyg, htmlbox , WYMeditor  ; yes ; yes{{cite web|url= ; ; ; yes ; Via plugin ; ; ; yes ; yes ; yes 
rh| Autocompletion tools ; no ; ; yes ; ; ; yes ; yes ; yes ; yes ; With plugin ; ; yes ; ; With plugins ; ; ; yes ; yes ; yes 
rh| HTML generation tools ; no ; ; yesAs of Dojo 1.3, the NodeList.addContent() api can be used to create content for example: dojo.query(".note").addContent("h4 NOTE: h4", "before"), ; ; ; yes ; yes ; yes ; yes ; yesMooTools Elements  ; ; yes ; yes ; yes ; ; ;no ; yes ; yes 
rh| Widgets themeable / skinnable ; ; yes ; yes ; ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ; ; yes ; ; ; ; yes ; yes 
rh| GUI resizable panels and modal dialogs ; ; yes ; yes ; ; yes ; yes ; yes ; With plugins ; yes ;yesUsing MochaUI Library or JxLib date=18 February 2009  ; ; ; yes ; yes ; ; ; yes ; yes ; yes 
rh| GUI page layout ; ; ; yes ; ; ; yes ; yes ; With plugin ; yes ;yes ; ; ;yes ; yes ; ; ; yes ; yes ; yes  
rh| Canvas support ; ; yes ;yesdojo.gfx  ; ; yes ;yes ;yes ; With plugin{{cite web|url= ; yes ;yes ; ; ; yes ; yes ; ; ;yes ; yes ; yes 
rh| Mobile/tablet support (touch events) ; yes ; yes ;yes ; yes ; yes ; yes ;With plugin ; With plugin{{cite web|url= ; yes ;With plugin{{cite web|url= ; yes ; ; yes ; yes ; ; ;yes ;yes ; yes Webix mobile/tablet support 
rh| Accessibility /  graceful degradationAll JavaScript frameworks can be written in an accessible way with graceful degradation, frameworks seen here which imply out-of-the-box accessibility have made a special effort to document best practices for their particular framework. ; yes ; ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; ; ; noQooxdoo's "Extreme JavaScript" paradigm  ; Degradation: NoAccessibility: Yes ; ; ; ; yes ; yes  
rh| ARIA compliant ; ; ; yes ; ; ; yes ; ; yes ; yes ; ; yes ; ; No ; yes ; ; ; ; yes ; yes  
rh| Developer tools, Visual design ; ; ; yesWavemakerAptana Studio ; ; in progress ; yes ; yes ; yes ; yes ; yes ; ; ; yesCustom build, JS Linker, API generation, Unit test framework, etc.  ; no ; ; ;yes ; yes ; Yes{{cite web|url= 
rh| Offline storageJavaScript frameworks currently only have the ability to support offline storage by taking advantage of pre-installed browser extensions such as Google Gears. If a user does not have one of these supported extensions installed in their browser already then offline support will be unavailable to the framework. JavaScript framework developers interested in implementing Gears may want to start with the Gears Getting Started Guide. ; ; yes ; noo.DojoToolkit.Org/offline  says "Dojo Offline is no longer supported after Dojo 1.3" ; ; yes ; yes ;  Via Google Gears{{cite web|url= ; With plugin ; yes ; ; ; ; yes ; yes ; ; ; planned ; yes ; yes 
rh| Cross-browser 2d Vector GraphicsSome JavaScript libraries provide 2d graphics primitives that can be used for cross-browser vector graphics.  These libraries rely on underlying technologies in the browser or plugins such as Canvas, SVG, VML, Flash, and Silverlight to do the actual rendering, but help isolate application and widget code from the rendering engine API differences ; ; ; yes ; ; ; yes ; ;  With pluginjQuery SVG plugin ; yes ; yes{{cite web|url= ; ; ; ; no] ; ; ; yes (via Raphael) ; yes ; yes (via Raphael) 
rh| Charting & DashboardSome JavaScript libraries include widgets for Charts, Gauges, and other data visualizations. ; ; yes ; yes ; ; ;yesChart API ; ; With pluginjQuery Visualize Plugin  ; yes ; ; ; ; ; no ; ; ; yes ;yes ; yes 
rh| RTL Support in UI Components ; ; yes ; yes ; ; ; yes ; ; Depends on the plugin used ; yes ; ; yes ; ; ; yes ; ; ;  ; ; no 
