Framework ;Internet Explorer ;Mozilla Firefox ;Safari ;Opera ;Chrome ;Edge 
rh|AngularJS (1.3) ; 8+ (9+) ; 4+ ; 5+ ; 11+ ; 30+ ; 
rh|Apache Royale ; 10) ; 21 ; 6 ; 15 ; 23 ; 
rh|Dojo ; 6+ ; 3+ ; 4 ; 10.50+ ; 3 ; 
rh|Ember.js ; 6+ ; 3+ ; 4+ ; 10.6+ ; 14+ ; 
rh|Enyo ; 8+ ; >4 ; >5 ; ; >10 ; 
rh|Ext JS ; 6+ ; 3.6+ ; 4+ ; 11+ ; 10+ ; 
rh|Google Web Toolkit ; 8+ ; 1+ ; 5+ ; 9+ ; 1+ ; 
rh|jQuery (3.x) ; 6+ (9+) ; 2+ ; 3+ ; 9+ ; 1+ ; 
rh|jQWidgets ; 7+ ; 2+ ; 3+ ; 9+ ; 1+ ; 
rh|MooTools ; 6+ ; 2+ ; 3+ ; 9+ ; 1+ ; 
rh|Prototype & script. aculo.us ; 6+ ; 1.5+ ; 2.0.4+ ; 9.25+ ; 1+ (starting with 1.6.1RC3) ; 
rh|qooxdoo ; 6+ ; 2+ ; 3+ ; 9+ ; 2+ ; 
rh|SproutCore ; 6+ ; 3+ ; 4+ ; 9+ ; 1+ ; 
rh|Svelte ;  ; 21+ ; 6+ ; 15+ ; 23+ ;12+ 
rh|Vue ;10+ ;21+ ;6+ ;15+ ;23+ ;12+ 
rh|Wakanda ; 9+ ; 4+ ; 5+ ; ; 11+ ; 
rh|ZK ; 6+ ; 2.0+ ; 3+ ; 9+ ; 2+ ; 
rh|Webix  ; 8+ ; 3+ ; 4+ ; 9+ ; 1+ ; 
