 Distribution ; Free software repositories ; Approximate number of pre-compiled packages ; Approximate number of source packages ; Default package management tool(s) ; Package format ; Default installer ; Graphical installation process ; Netinstall ; Netboot 
 Rh| Alpine Linux ; Free, and nonfree ; 8135 ; dunno ; apk ; .apk ; setup-alpine ; no ; dunno ; dunno 
 Rh| ALT Linux ; Free, and nonfree ; 8300 ; dunno ; APT (APT-RPM), RPM ; RPM ; ; yes ; dunno ; dunno 
 Rh| Arch Linux ; Free, and nonfree ; 10999 ; 66265 from AUR ; Pacman ; .pkg.tar.zst ; None (third-party install scripts only) ; no ; yes ; iPXE 
 Rh| BLAG ; Free only ; 10000 ; dunno ; RPM, yum, APT ; RPM ; ; yes ; no ; no 
 Rh| Bodhi Linux ; Free, and nonfree ; Based on Debian ; dunno ; APT ; .dpkg ; Ubiquity ; yes ; dunno ; dunno 
 Rh| CentOS ; Free, and nonfree ; Based on Fedora ; dunno ; RPM, yum/up2date ; RPM ;Anaconda ; yes ; yes ; dunno 
 Rh| Chakra ; Free, and nonfree ; 3074 ; prefix=CCR: ; Pacman (will be replaced by Akabei in future) ; .pkg.tar.xz ; ; Package manager in development ; dunno ; dunno 
 Rh| ClearOS ; Free, and nonfree ; Based on Fedora ; dunno ; RPM, yum ; RPM ; ; no ; dunno ; dunno 
 Rh| CrunchBang Linux ; Free, and nonfree ; Based on Debian ; dunno ; APT ; .deb ; ; yes ; dunno ; dunno 
 Rh| Debian ; Free, and nonfree ; 89403 ; 28923From the Sources.gz files in the main, contrib and non-free sections of Debian Buster. On the 2020-06-12, Debian Sid, the development release, have 31717 source packages. ; APT ; .deb ; Debian-Installer ; yes ; yes ; PXE 
 Rh| Devuan ; Free, and nonfree ; Based on Debian ; dunno ; APT ;.deb ; Debian-Installer ; yes ; yes ; PXE 
 Rh| Dragora GNU/Linux-Libre ; Free only ; 484 ; dunno ; pkgsystem ; .tlz ; dunno ; no ; no ; no 
 Rh| dyne:bolic ; Free only ; dunno ; dunno ; APT ; .deb ; Debian-Installer ; yes ; no ; no 
 Rh| Fedora ; Free, and nonfree ; 58991 with RPM fusionyum list all command, fedora 31 ; 30681 ; DNF, yum, PackageKit ; RPM ; Anaconda ; yes ; yes ; dunno 
 Rh| Gentoo ; Free, and nonfree ; 10000 ; 19092Note this number is just of packages in the Official Gentoo Overlay (or Portage Tree). Several hundred other packages are available from other overlays ; Portage ; .ebuild, .tbz2 ; None (third-party install scripts only) ; yesCan be installed graphically (GTK+ and ncurses), but traditionally done by command line (install cd, live cd, netboot, and from distributions). ; yes ; PXE 
 Rh| gNewSense ; Free only ; dunno ; dunno ; APT ; .deb ; Debian-Installer ; yes ; yes ; no 
 Rh| Guix System ; Free only ; 13168 ; 13168 ; Guix ; .scm, .go ; guix system init ; yes ; yes ; no 
 rh| Hyperbola GNU/Linux-libre ; Free only ; 14494{{cite web|title=Hyperbola GNU/Linux-libre packages|access-date=2018-12-07|url= ; dunno ; Pacman ; .pkg.tar.xz ; None (third-party install scripts only) ; no ; yes ; dunno 
 Rh| Knoppix ; Free, and nonfree ; Based on Debian ; dunno ; APT ; .deb ; ; no ; dunno ; dunno 
 Rh| LibreCMC ; Free only ; 826 ; dunno ; dunno ; dunno ;  ; no ; no ; no 
