 Operating system ; Limit on IA-32 ; Limit on x64 
 Windows NT 4.0 ; 4 GB ; n/a 
 Windows 2000 Professional/Server ; 4 GB ; n/a 
 Windows 2000 Advanced Server ; 8 GB ; n/a 
 Windows 2000 Datacenter ; 32 GB ; n/a 
 Windows XP Starter ; 512 MB ; n/a 
 Windows XP Home ; 4 GB ; n/a 
 Windows XP Professional ; 4 GB ; 128 GB 
 Windows Server 2003 RTM Web ; 2 GB ; n/a 
 Windows Server 2003 RTM Standard/Small Business ; 4 GB ; n/a 
 Windows Server 2003 RTM Enterprise/Datacenter ; 64 GB ; n/a 
 Windows Server 2003 R2/SP1 Standard ; 4 GB ; 32 GB 
 Windows Server 2003 R2/SP1 Enterprise/Datacenter ; 64 GB ; 1 TB 
 Windows Vista Starter ; 1 GB ; n/a 
 Windows Vista Home Basic ; 4 GB ; 8 GB 
 Windows Vista Home Premium ; 4 GB ; 16 GB 
 Windows Vista Business/Enterprise/Ultimate ; 4 GB ; 128 GB 
 Windows Home Server ; 4 GB ; n/a 
 Windows Server 2008 Web Server/Standard/Small Business ; 4 GB ; 32 GB 
 Windows HPC Server 2008 ; n/a ; 128 GB 
 Windows Server 2008 Enterprise/Datacenter ; 64 GB ; 1 TB 
 Windows 7 Starter ; 2 GB ; n/a 
 Windows 7 Home Basic ; 4 GB ; 8 GB 
 Windows 7 Home Premium ; 4 GB ; 16 GB 
 Windows 7 Professional/Enterprise/Ultimate ; 4 GB ; 192 GB 
 Windows Server 2008 R2 Foundation ; n/a ; 8 GB 
 Windows Server 2008 R2 Web Server/Standard ; n/a ; 32 GB 
 Windows HPC Server 2008 R2 ; n/a ; 128 GB 
 Windows Server 2008 R2 Enterprise/Datacenter ; n/a ; 2 TB 
 Windows 8 ; 4 GB ; 128 GB 
 Windows 8 Pro/Enterprise ; 4 GB ; 512 GB 
 Windows Server 2012 Foundation ; n/a ; 32 GB 
 Windows Server 2012 Essentials ; n/a ; 64 GB 
 Windows Server 2012 Standard/Datacenter ; n/a ; 4 TB 
 Windows Storage Server 2012 Standard ; n/a ; 4 TB 
Windows Storage Server 2012 Workgroup ; n/a ; 32 GB 
Hyper-V Server 2012 ; n/a ; 4 TB 
 Windows 10 Mobile ; 4 GB ; n/a 
 Windows 10 Home ; 4 GB ; 128 GB 
 Windows 10 Pro ; 4 GB ; 2 TB 
 Windows 10 Education ; 4 GB ; 2 TB 
 Windows 10 Enterprise ; 4 GB ; 6 TB 
 Windows Server 2016 Standard ; n/a ; 24 TB 
 Windows Server 2016 Datacenter ; n/a ; 24 TB 
