 NMDCNMDC : NeoModus Direct Connect hub ; FOSS ; Software license ; Active ; Latest version (release date) ; GUI;CLI;Other  ; IPv6 support ; Programming language ; Based on ; Notes 
UFOHub ; no ; ProprietaryFreeware ; yes ; 8.19.9 (2019-Sep-05) ; yes ; no ; yes ; yes ; unknown ; ; 
 Verlihub ; yes ; GNU GPL ; yes ; 1.2.0.0 (2019-03-10) ; no; yes; unknown ; No ; C++, Lua, Python, Perl ;  
PTDCH ; yes ; GNU GPL ; yes ; Never released since 2008 ; yes; unknown; unknown ; No ; Visual Basic, Jscript, VBscript ; DDCH 
 Dtella ; yes ; GNU GPL ; yes ; 1.2.9 (2015-06-07){{cite web|title=Dtella Labs|url= December 2016|archive-url= ; No;No;Yes ; No ; Python ;  
 HeXHub ; yes ; Open Software License ; yes ; 5.12 (2014-03-01) ; yes; unknown; unknown ; No ; Assembly ;  
 Open Direct Connect Hub ; yes ; GNU GPL ; No ; 0.8.3 (2014-08-14) ; no;unknown;unknown ; No ; C, Perl ;  ; Available in Debian{{cite web|title=Package: opendchub (0.8.2-2)|url= December 2016|archive-url= and OpenWrt{{cite web|title=Index of /snapshots/trunk/ar71xx/packages/|url= December 2016|archive-url= 
 Flexhub ; yes ; GNU AGPL ; yes ; Beta 0.2 svn 1469 (2013-10-22) ; pending;yes;unknown ; No ; Lua ;  
 PtokaX ; yes ; GNU GPL ; yes ; 0.5.2.2 (2017-04-11){{cite web|title=PtokaX Direct Connect Hub|url= December 2016|archive-url= ; yes; yes; unknown ; yes ; C++, Lua ;  
 RusHub ; yes ; GNU GPL ; yes ; 2.3.10 (2012-06-10){{cite web|title=RusHub -  Browse /RusHub at SourceForge.net|url= December 2016|archive-url= ; no;yes;unknown ; Yes ; C++, Lua ; Verlihub{{cite web|title=rushhub.org|url= December 2016|archive-url= 
 Eximius ; no ; ProprietaryFreeware ; yes ; 2007 ; yes; unknown; unknown ; No ; C#, Lua ; 
 DB Hub ; yes ; GNU GPL ; no ; 0.451 (2008-02-08) ; unknown; unknown; unknown ; No ; unknown ; OpenDCHub 
 openDCd ; yes ; GNU GPL ; no ; 2002 ; unknown; unknown; unknown ; No ; unknown ;  
 DDCH DevDirect Connect Hub ; unknown ; unknown ; no ; ; yes; no; no ; No ; Visual Basic, Jscript ;  
 py-dchub ; yes ; MIT License ; no ; 0.2.4 (2006-02-13) ; unknown; unknown; unknown ; No ; Python ;  
Aquila ; yes ; GNU GPL ; no ; 0.1.11-pre4-beta4 (2015-02-17) ; no; yes; no ; No ; C++, Lua ;  
 YnHub ; no ; ProprietaryFreeware ; yes ; 1.0364.126 (2016-07-15) ; yes; no; no ; No ; Delphi ;  
 LamaHub ; yes ; GNU GPL ; no ; 0.0.6.3 (2010-04-25) ; unknown; unknown; unknown ; No ; C ;  
 DC Sharp Hub ; yes ; GNU GPL ; no ; 3.0.4 beta (2004-09-06) ; unknown; unknown; unknown ; No ; C# ; 
 NMDC hub ; FOSS ; Software license ; Active ; Latest version (release date) ; GUI;CLI;Other ; IPv6 support ; Programming language ; Based on 
