 NMDC Client ; FOSS ; Software license ; Active ; Windows ; Linux ; Mac OS X ; Other OS ; GUI ; CLI ; Other UI ; Programming language ; Based on 
 MLDonkey ; yes ; GNU GPL ; no ; yes ; yes ; yes ; no ; yes ; yes ; WebUI ; OCaml, C, assembly ;  
 Shareaza ; yes ; GNU GPL ; yes ; yes ; no ; no ; no ; yes ; unknown ; unknown ; C++ ;  
 NeoModus Direct Connect ; no ; ProprietaryFreeware ; no ; yes ; yes ; no ; no ; yes ; no ; no ; Visual Basic, C++ ;  
 ShakesPeer ; yes ; GNU GPL ; no ; no ; no ; yes ; no ; yes ; no ; no ; C ;  
 Valknut ; yes ; GNU GPL ; no ; no ; yes ; no ; FreeBSD ; yes ; no ; no ; C++ ;  
 DCTC ; yes ; GNU GPL ; no ; ; ; ; ; no ; no ; yes ; C++ ;  
 DC# ; yes ; GNU GPL ; no ; yes ; no ; no ; no ; yes ; no ; no ; C# ;  
 LDCC ; yes ; GNU GPLv2 ; no ; no ; yes ; no ; no ; no ; no ; yes ; C ;  
 DCDM++ ; yes ; GNU GPL ; no ; yes ; no ; no ; no ; yes ; no ; no ; C++ ; DC++ 
 fulDC ; yes ; GNU GPL ; no ; yes ; no ; no ; no ; yes ; no ; no ; C++ ; DC++ 
 RevConnect ; yes ; GNU GPL ; no ; yes ; no ; no ; no ; yes ; no ; no ; C++ ; DC++ 
 CzDC ; yes ; GNU GPL ; no ; yes ; no ; no ; no ; yes ; no ; no ; C++ ; DC++ 
 EiskaltDC ; yes ; GNU GPL ; no ; no ; yes ; yes ; FreeBSD ; yes ; no ; no ; C++ ; Valknut 
 ncdc ; yes ;  MIT Licence ; yes ; no ; yes ; yes ; FreeBSD ; no ; yes ; no ; C ; 
 NMDC Client ; FOSS ; Software license ; Active ; Windows ; Linux ; Mac OS X ; Other OS ; GUI ; CLI ; Other UI ; Programming language ; Based on 
