 OLAP server ; Company ; Website ; Latest stable version ; Software license ; License pricing 
Apache Kylin ;Apache Software Foundation ; ;3.1.0 ;Apache 2.0 ;free 
ClickHouse ;Yandex ;{{Cite web|url= ;20.5.2.7 ;Apache 2.0 ;free 
 Druid ; Open source community ;  ; 0.11.0 ; Apache 2.0 ; free 
 Essbase ; Oracle ; ; 19.3 ; Proprietary ;  
 IBM Cognos TM1 ; IBM ; ; 10.2.2 FP7 ; Proprietary ; - 
 icCube ; icCube ; ; 6.8.9 ; Proprietary ; community/ 
 Jedox OLAP Server ; Jedox ; ; 2019.3 ; Proprietary ;  
 Kyvos ; Kyvos Insights ; ; 2020.1 ; Proprietary ; - 
 Microsoft Analysis Services ; Microsoft ; ; 2016 ; Proprietary ;  
 Mondrian OLAP server ; Pentaho ; ; 3.7 ; EPL ; free 
 Oracle Database OLAP Option ; Oracle ; ; 11g R2 ; Proprietary ;  
 SAP NetWeaver BW ; SAP ; ; 7.30 ; Proprietary ; - 
 SAS OLAP Server ; SAS Institute ; ; 9.4 ; Proprietary ; - 
